#OTU ID	S1HB3xDD2.MID109-109.P4.jan14_ncdenovo	S1HB3xDD2.MID110-110.P2.jan14_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_ncdenovo	S1HB3xDD2.MID104-104.P2.nov13_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_otuclust	S1HB3xDD2.MID104-104.P2.nov13_otuclust	S1HB3xDD2.MID110-110.P2.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13_ncref	S1HB3xDD2.MID98-98.P2.dec13_ncref	S1HB3xDD2.MID110-110.P2.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13	S1HB3xDD2.MID109-109.P4.jan14	S1HB3xDD2.MID98-98.P2.dec13	S1HB3xDD2.MID110-110.P2.jan14	PDD2xHB3.MID47-48.P2.apr13_ncdenovo	PDD2xHB3.MID47-48.P2.apr13_otuclust	PDD2xHB3.MID47-48.P2.apr13_ncref	PDD2xHB3.MID47-48.P2.apr13
M00595:42:000000000-A5J1T:1:2112:19464:17422	835	372	401	581	1	1	1	1	837	581	401	372	1003	1608	762	659	930	1	930	1544
M00595:42:000000000-A5J1T:1:1101:4532:12230	1037	452	750	597	1	1	1	1	1037	597	759	452	1040	1936	1306	863	880	1	880	1471
M01896:14:000000000-A7ERE:1:2109:26315:18455	1635	962	830	1126	1	1	1	1	1635	1126	830	964	1797	2586	1539	1607	1413	1	1413	2219
M01896:2:000000000-A69JN:1:1116:27833:12295	1358	628	953	1040	1	1	1	1	1358	1040	953	628	1708	2481	1755	1151	923	1	923	1578
M01896:15:000000000-A7EN9:1:1115:28876:13171	828	654	739	1171	1	1	1	1	828	1171	739	654	1961	1653	1445	1277	843	1	843	1486
M01896:14:000000000-A7ERE:1:2112:19502:16076	192	129	54	263	1	1	1	1	192	263	54	129	559	582	164	358	156	1	156	367
M00595:42:000000000-A5J1T:1:1102:27999:19813	170	170	110	345	1	1	1	1	170	345	110	170	703	473	309	410	456	1	456	900
M01896:2:000000000-A69JN:1:2103:5035:6461	264	217	118	277	1	1	1	1	264	277	120	217	595	631	288	556	583	1	583	1134
M01896:15:000000000-A7EN9:1:1104:19193:7159	319	219	203	507	1	1	1	1	319	507	203	219	1026	870	537	543	403	1	403	828
M01896:15:000000000-A7EN9:1:1113:14016:24590	428	346	209	598	1	1	1	1	428	600	209	350	1130	1020	493	771	1163	1	1165	1974
M00595:42:000000000-A5J1T:1:2103:20766:3210	303	287	233	381	1	1	1	1	303	381	233	287	712	659	492	586	792	1	794	1389
M01896:15:000000000-A7EN9:1:2114:5816:14728	250	139	214	309	1	1	1	1	248	309	220	139	598	554	480	316	212	1	212	449
