#OTU ID	PDD2.MID47-47.P2.apr13_ncdenovo	S1DD2.MID103-103.P2.nov13_ncdenovo	S1DD2.MID110-110.P4.jan14_ncdenovo	S1DD2.MID109-109.P2.jan14_ncdenovo	S1DD2.MID97-97.P2.dec13_ncdenovo	S1DD2.MID103-103.P2.nov13_otuclust	S1DD2.MID109-109.P2.jan14_otuclust	S1DD2.MID97-97.P2.dec13_otuclust	S1DD2.MID110-110.P4.jan14_otuclust	PDD2.MID47-47.P2.apr13_otuclust	S1DD2.MID110-110.P4.jan14_ncref	S1DD2.MID103-103.P2.nov13_ncref	S1DD2.MID97-97.P2.dec13_ncref	PDD2.MID47-47.P2.apr13_ncref	S1DD2.MID109-109.P2.jan14_ncref	S1DD2.MID109-109.P2.jan14	S1DD2.MID110-110.P4.jan14	PDD2.MID47-47.P2.apr13	S1DD2.MID97-97.P2.dec13	S1DD2.MID103-103.P2.nov13
M01896:14:000000000-A7ERE:1:1106:13350:9617	3148	1736	1794	1970	1365	1	1	1	1	1	1794	1736	1365	3148	1970	2914	2661	4184	2183	2448
M00595:42:000000000-A5J1T:1:2109:14970:23966	1461	690	404	302	441	1	1	1	1	1	404	690	441	1461	302	670	803	2148	841	1079
M00595:42:000000000-A5J1T:1:2108:28567:12243	1254	686	535	387	443	1	1	1	1	1	535	686	443	1254	387	838	1031	1802	860	1052
M00595:42:000000000-A5J1T:1:2116:15237:12084	2576	1027	588	522	469	1	1	1	1	1	588	1027	469	2576	522	1065	1171	3642	991	1665
M01896:14:000000000-A7ERE:1:2117:14496:24430	1807	929	800	639	995	1	1	1	1	1	800	929	995	1807	639	1261	1456	2623	1739	1442
M01896:2:000000000-A69JN:1:2108:4047:19276	40	50	80	110	57	0	0	0	0	0	80	50	57	40	110	110	81	41	58	50
M01896:2:000000000-A69JN:1:1101:21868:10786	40	27	12	14	21	1	1	1	1	1	12	27	21	40	14	30	26	82	46	47
M01896:2:000000000-A69JN:1:1107:12949:22053	1622	772	607	799	734	1	1	1	1	1	607	772	734	1622	799	1524	1125	2264	1317	1209
M01896:14:000000000-A7ERE:1:1113:4092:11043	1729	845	733	1636	782	1	1	1	1	1	733	845	782	1729	1636	2560	1256	2434	1301	1340
M00595:42:000000000-A5J1T:1:1112:23343:11856	1465	620	381	337	379	1	1	1	1	1	381	620	379	1465	337	717	777	2188	769	1013
M01896:14:000000000-A7ERE:1:2106:27564:19044	73	77	126	225	66	0	0	0	0	0	126	77	66	73	225	363	216	97	118	109
M01896:2:000000000-A69JN:1:2106:6750:17275	1861	489	458	312	350	1	1	1	1	1	458	489	350	1857	312	666	842	2581	660	790
M00595:42:000000000-A5J1T:1:2118:26937:7215	1149	597	286	237	326	1	1	1	1	1	286	597	326	1149	237	564	625	1732	658	981
M00595:42:000000000-A5J1T:1:2105:17494:3196	1125	1518	641	465	420	1	1	1	1	1	641	1518	420	1125	465	1124	1423	1830	991	2365
