#OTU ID	PDD2.MID47-47.P2.apr13_ncdenovo	S1DD2.MID103-103.P2.nov13_ncdenovo	S1DD2.MID110-110.P4.jan14_ncdenovo	S1DD2.MID109-109.P2.jan14_ncdenovo	S1DD2.MID97-97.P2.dec13_ncdenovo	S1DD2.MID103-103.P2.nov13_otuclust	S1DD2.MID109-109.P2.jan14_otuclust	S1DD2.MID97-97.P2.dec13_otuclust	S1DD2.MID110-110.P4.jan14_otuclust	PDD2.MID47-47.P2.apr13_otuclust	S1DD2.MID110-110.P4.jan14_ncref	S1DD2.MID103-103.P2.nov13_ncref	S1DD2.MID97-97.P2.dec13_ncref	PDD2.MID47-47.P2.apr13_ncref	S1DD2.MID109-109.P2.jan14_ncref	S1DD2.MID109-109.P2.jan14	S1DD2.MID110-110.P4.jan14	PDD2.MID47-47.P2.apr13	S1DD2.MID97-97.P2.dec13	S1DD2.MID103-103.P2.nov13
M01896:14:000000000-A7ERE:1:2108:8853:22075	1195	595	434	363	387	1	1	1	1	1	434	595	387	1195	363	814	878	1797	773	959
M01896:2:000000000-A69JN:1:1104:22275:4570	1269	672	588	601	365	1	1	1	1	1	588	672	365	1269	601	1195	1157	1962	791	1091
M00595:54:000000000-A7CT0:1:1104:18924:13974	199	120	28	26	38	1	1	1	1	1	28	120	38	199	26	107	90	455	88	287
M01896:15:000000000-A7EN9:1:2109:18176:2424	34	24	35	101	32	1	1	1	1	1	35	24	32	34	101	183	63	69	76	54
M01896:15:000000000-A7EN9:1:2101:16163:10967	2046	1002	533	461	575	1	1	1	1	1	533	1002	575	2046	461	937	1033	2927	1067	1548
M01896:15:000000000-A7EN9:1:2110:25375:20851	29	38	105	347	105	0	0	0	0	0	105	38	105	29	347	355	115	29	107	39
M01896:15:000000000-A7EN9:1:1108:14430:17182	38	73	133	215	57	0	0	0	0	0	133	73	57	38	215	226	146	38	62	74
M00595:42:000000000-A5J1T:1:1119:16330:23966	1125	309	248	169	143	1	1	1	1	1	248	309	143	1125	169	447	555	1723	368	600
M00595:42:000000000-A5J1T:1:2116:8416:5908	1048	556	348	217	240	1	1	1	1	1	348	556	240	1048	217	453	669	1590	500	911
M00595:54:000000000-A7CT0:1:1107:11133:18782	926	693	323	221	215	1	1	1	1	1	323	693	215	926	221	501	669	1534	502	1119
M01896:15:000000000-A7EN9:1:1102:18197:3937	33	60	153	257	112	0	0	0	0	0	153	60	112	33	257	278	164	36	124	64
M00595:54:000000000-A7CT0:1:1106:11214:19736	31	79	113	177	53	0	0	0	0	0	113	79	53	31	177	182	112	31	53	80
M01896:15:000000000-A7EN9:1:1114:13795:22573	32	21	27	42	14	1	1	1	1	1	27	21	14	32	42	87	43	62	40	34
M00595:42:000000000-A5J1T:1:2103:8503:10001	500	168	149	240	171	1	1	1	1	1	149	168	171	500	240	609	339	824	375	342
M01896:14:000000000-A7ERE:1:2118:24983:14059	27	38	101	160	82	0	0	0	0	0	101	38	82	27	160	164	106	28	82	38
M00595:42:000000000-A5J1T:1:1102:18660:12665	1017	488	307	276	246	1	1	1	1	1	307	488	246	1017	276	598	654	1553	538	847
M00595:42:000000000-A5J1T:1:2103:7647:15998	615	302	152	101	149	1	1	1	1	1	152	302	149	615	101	315	391	1177	352	673
M01896:2:000000000-A69JN:1:2113:25998:17602	22	33	70	121	47	0	0	0	0	0	70	33	47	22	121	121	71	22	48	33
M01896:2:000000000-A69JN:1:2101:20082:17056	27	44	61	114	78	1	1	1	1	1	61	44	78	27	114	240	126	69	167	90
M00595:54:000000000-A7CT0:1:2116:4799:5713	27	47	48	106	96	1	1	1	1	1	48	47	96	27	106	283	132	57	196	87
M00595:42:000000000-A5J1T:1:2107:12392:12487	1246	431	374	319	230	1	1	1	1	1	374	431	230	1246	319	687	815	1991	556	766
M01896:14:000000000-A7ERE:1:2105:10223:11783	21	16	9	12	19	1	1	1	1	1	9	16	19	21	12	40	32	37	44	26
M00595:42:000000000-A5J1T:1:1117:20455:19979	44	16	12	5	2	0	0	0	0	0	12	16	2	44	5	7	11	62	7	23
M01896:14:000000000-A7ERE:1:1107:10337:14813	701	353	142	98	208	1	1	1	1	1	142	353	208	701	98	281	337	1177	441	662
M01896:14:000000000-A7ERE:1:1114:10257:8778	17	25	38	62	13	0	0	0	0	0	38	25	13	17	62	63	42	17	13	25
M00595:42:000000000-A5J1T:1:1116:14382:8111	388	136	69	56	56	1	1	1	1	1	69	136	56	388	56	185	208	748	141	325
M00595:42:000000000-A5J1T:1:2117:21474:11486	1135	1546	598	488	468	1	1	1	1	1	598	1546	468	1135	488	1114	1224	1787	1078	2383
M00595:42:000000000-A5J1T:1:2110:8600:6912	828	249	155	157	106	1	1	1	1	1	155	249	106	828	157	388	367	1387	259	490
M00595:54:000000000-A7CT0:1:2106:21047:6992	887	451	200	211	214	1	1	1	1	1	200	451	214	887	211	486	490	1397	497	803
M00595:42:000000000-A5J1T:1:2107:27584:12198	179	69	4	13	5	1	1	1	1	1	4	69	5	179	13	45	28	431	34	216
M01896:14:000000000-A7ERE:1:1118:19297:9769	52	49	43	155	34	1	1	1	1	1	43	49	34	52	155	293	96	104	72	83
M00595:42:000000000-A5J1T:1:1104:23026:15266	332	390	247	248	102	1	1	1	1	1	247	390	102	332	248	682	571	656	308	749
M01896:14:000000000-A7ERE:1:1103:13337:10005	1098	467	260	275	261	1	1	1	1	1	260	467	261	1098	275	627	579	1727	575	831
M00595:42:000000000-A5J1T:1:1111:13547:9195	179	48	47	35	35	1	1	1	1	1	47	48	35	179	35	71	101	344	88	101
M01896:2:000000000-A69JN:1:2115:14667:8607	190	84	29	48	21	1	1	1	1	1	29	84	21	190	48	128	127	384	67	205
M00595:54:000000000-A7CT0:1:1101:18305:4114	98	290	239	184	263	1	1	1	1	1	239	290	263	98	184	373	479	186	513	530
M01896:2:000000000-A69JN:1:2106:11806:8668	25	4	0	0	0	0	0	0	0	0	0	4	0	25	0	0	0	44	0	5
M01896:15:000000000-A7EN9:1:2102:21797:14880	11	8	22	96	19	0	0	0	0	0	22	8	19	11	96	106	24	14	20	8
M01896:14:000000000-A7ERE:1:2106:25166:19216	55	38	72	150	45	0	0	0	0	0	72	38	45	55	150	154	73	55	45	38
M01896:15:000000000-A7EN9:1:1117:6507:18106	29	30	90	120	41	0	0	0	0	0	90	30	41	29	120	124	94	29	42	31
M01896:2:000000000-A69JN:1:1115:18226:2768	31	10	9	15	6	0	0	0	0	0	9	10	6	31	15	32	17	53	14	20
M00595:42:000000000-A5J1T:1:1119:23021:11990	11	7	8	19	4	1	1	1	1	1	8	7	4	11	19	39	26	22	12	22
M01896:15:000000000-A7EN9:1:2103:21413:17690	22	14	49	70	22	0	0	0	0	0	49	14	22	22	70	80	53	26	22	15
M00595:54:000000000-A7CT0:1:2111:14863:5535	708	331	202	157	202	1	1	1	1	1	202	331	202	708	157	403	441	1159	500	650
M01896:2:000000000-A69JN:1:2117:14436:20936	18	9	0	0	0	0	0	0	0	0	0	9	0	18	0	5	14	35	5	15
M01896:2:000000000-A69JN:1:2102:7724:14045	29	20	2	2	0	1	1	0	1	1	0	20	0	29	2	15	11	125	9	85
M01896:2:000000000-A69JN:1:1113:23695:3604	13	17	20	42	10	0	0	0	0	0	20	17	10	13	42	49	28	16	12	18
M01896:2:000000000-A69JN:1:2115:19483:16408	23	36	30	69	38	0	0	0	0	0	30	36	38	23	69	71	30	23	38	36
M01896:2:000000000-A69JN:1:1115:7206:9987	48	28	100	142	53	0	0	0	0	0	100	28	53	48	142	143	101	48	53	28
M01896:14:000000000-A7ERE:1:2117:7698:8267	8	0	3	0	0	0	0	0	0	0	3	0	0	8	0	2	4	9	0	1
M00595:54:000000000-A7CT0:1:2110:20226:15736	10	0	0	2	4	0	0	0	0	0	0	0	2	10	2	10	5	16	5	4
M00595:54:000000000-A7CT0:1:1117:15169:8778	29	26	52	109	26	0	0	0	0	0	52	26	26	29	109	109	52	29	26	26
M00595:54:000000000-A7CT0:1:2107:15783:13545	12	0	2	0	0	0	0	1	1	0	5	0	3	12	0	9	11	29	10	14
M01896:2:000000000-A69JN:1:1107:10971:6348	26	9	4	13	0	0	0	0	0	0	4	9	0	26	13	23	19	51	3	32
M00595:42:000000000-A5J1T:1:2103:25463:17540	11	2	0	0	2	0	0	0	0	0	2	2	2	11	0	4	7	26	6	5
M00595:42:000000000-A5J1T:1:1114:12874:22906	9	0	3	0	0	0	0	0	0	0	3	0	0	2	0	6	7	15	2	1
M01896:15:000000000-A7EN9:1:1102:22741:6133	7	2	2	0	0	0	0	0	0	0	2	2	0	7	0	3	5	18	1	2
M01896:2:000000000-A69JN:1:2114:24566:16483	8	0	0	0	2	0	0	0	0	0	0	0	2	8	0	2	3	14	4	5
M00595:42:000000000-A5J1T:1:2112:21565:23001	12	0	0	2	0	0	0	0	0	0	0	0	2	12	2	3	1	15	3	2
M00595:42:000000000-A5J1T:1:2111:25454:17285	5	0	0	2	0	0	0	0	0	0	0	0	0	5	2	4	3	10	1	1
M00595:42:000000000-A5J1T:1:1109:13838:12622	14	6	0	0	2	0	0	0	0	0	0	6	2	14	0	5	11	25	5	12
M00595:42:000000000-A5J1T:1:1104:9008:16079	5	5	0	0	0	0	0	0	0	0	0	5	0	5	0	5	2	8	0	15
M01896:14:000000000-A7ERE:1:1111:8651:24960	10	0	4	0	0	0	0	0	0	0	4	0	0	10	0	7	8	15	3	2
M01896:2:000000000-A69JN:1:1116:15154:22751	5	2	0	2	0	0	0	0	0	0	0	2	0	5	2	2	0	14	0	6
M00595:42:000000000-A5J1T:1:1111:7115:9852	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	3	8	1	5
M00595:42:000000000-A5J1T:1:1114:14032:8775	4	2	0	6	0	0	0	0	0	0	0	2	0	4	6	8	3	9	0	7
M01896:2:000000000-A69JN:1:1117:3082:17193	4	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	3	12	1	3
M00595:42:000000000-A5J1T:1:1103:29350:12920	13	0	3	0	0	0	0	0	0	0	3	0	6	25	0	7	18	62	10	7
M01896:14:000000000-A7ERE:1:1115:15210:7021	9	2	5	2	0	0	0	0	0	0	5	0	0	9	2	9	11	24	2	9
M00595:42:000000000-A5J1T:1:2113:24435:10934	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	6	1	1
M01896:15:000000000-A7EN9:1:2107:16641:11889	9	9	3	8	2	0	0	0	0	0	3	9	2	9	8	19	14	28	6	23
M01896:2:000000000-A69JN:1:2106:21720:22824	4	2	2	2	0	0	0	0	0	0	2	2	0	4	2	2	2	4	0	2
M00595:42:000000000-A5J1T:1:2111:26763:8074	10	0	2	0	2	0	0	0	0	0	2	0	2	10	0	3	4	23	6	2
M00595:54:000000000-A7CT0:1:2104:25145:19223	9	2	4	2	0	0	0	0	0	0	4	0	0	9	2	10	9	19	4	6
M00595:42:000000000-A5J1T:1:2119:8269:3262	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	7	1	1
M00595:42:000000000-A5J1T:1:2106:17538:17368	8	2	2	0	0	0	0	0	0	0	2	0	0	8	0	3	6	15	1	4
M00595:42:000000000-A5J1T:1:1118:12941:6179	7	4	0	0	0	0	0	0	0	0	0	4	0	7	0	2	11	14	4	11
M00595:54:000000000-A7CT0:1:1110:18804:15128	3	6	8	4	3	1	1	1	1	1	8	6	0	3	4	22	19	11	13	13
M00595:42:000000000-A5J1T:1:2115:14186:3403	5	6	2	0	3	0	0	0	0	0	2	6	3	5	0	1	2	5	3	6
M01896:2:000000000-A69JN:1:2105:24326:2486	7	2	19	15	6	0	0	0	0	0	19	2	6	7	15	19	21	8	7	3
M01896:2:000000000-A69JN:1:1115:26661:20613	11	7	4	0	0	0	0	0	0	0	0	7	0	0	0	4	16	29	3	11
M00595:42:000000000-A5J1T:1:2104:29039:12979	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	4	1	2
M01896:14:000000000-A7ERE:1:1110:20941:17488	3	2	0	0	0	0	0	0	0	0	0	2	0	0	0	4	7	6	3	9
M00595:42:000000000-A5J1T:1:2103:16489:22559	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	4	0	0
M01896:2:000000000-A69JN:1:2119:8688:21938	5	2	0	3	0	0	0	0	0	0	0	2	0	5	3	7	11	13	2	7
M00595:42:000000000-A5J1T:1:2105:16318:9772	3	2	0	0	0	0	0	0	0	0	0	2	0	3	0	3	5	6	0	6
M00595:42:000000000-A5J1T:1:1104:19762:2916	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	4	0	0
M00595:42:000000000-A5J1T:1:1103:9961:9654	3	2	0	0	0	0	0	0	0	0	0	2	0	3	0	3	0	7	0	2
M01896:14:000000000-A7ERE:1:1105:12234:7812	3	0	0	2	0	0	0	0	0	0	0	0	0	0	2	6	9	13	0	5
M00595:42:000000000-A5J1T:1:1111:23683:5104	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	20	0	2
M00595:42:000000000-A5J1T:1:2110:23712:8110	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	4	0	2
M00595:42:000000000-A5J1T:1:2117:20419:13004	2	2	2	0	0	0	0	0	0	0	2	2	0	2	0	3	3	6	0	7
M00595:42:000000000-A5J1T:1:1111:22440:9827	2	0	0	0	3	0	0	0	0	0	0	0	3	2	0	1	1	3	3	2
M00595:42:000000000-A5J1T:1:1119:7315:17642	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0
M00595:42:000000000-A5J1T:1:1117:13877:5601	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	3	2	2
M01896:2:000000000-A69JN:1:2115:26849:16998	2	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	3
M00595:42:000000000-A5J1T:1:2104:20952:9442	4	0	2	0	0	0	0	0	0	0	2	0	0	4	0	1	3	7	1	2
M00595:42:000000000-A5J1T:1:1110:20821:9118	2	0	2	3	0	0	0	0	0	0	2	0	0	2	3	7	38	10	1	2
M01896:2:000000000-A69JN:1:2110:19308:15378	4	2	2	3	2	0	0	0	0	0	2	2	2	4	3	15	21	26	5	6
M00595:54:000000000-A7CT0:1:1117:9802:15992	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	2	0
M01896:2:000000000-A69JN:1:1115:18499:11661	2	2	0	0	0	0	0	0	0	0	0	6	2	21	3	8	8	45	3	10
M00595:42:000000000-A5J1T:1:1119:23319:13203	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	1	17	1	1
M00595:42:000000000-A5J1T:1:2107:9941:12413	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2113:7588:10587	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	4	0	0
M00595:42:000000000-A5J1T:1:2116:13284:18966	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M01896:14:000000000-A7ERE:1:2107:8875:6635	2	0	8	9	3	0	0	0	0	0	8	0	3	2	9	12	8	2	3	1
M01896:2:000000000-A69JN:1:1111:22312:3098	2	3	0	0	0	0	0	0	0	0	0	3	0	2	0	2	4	4	1	4
M00595:42:000000000-A5J1T:1:2104:18566:23743	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	4	0	2
M00595:42:000000000-A5J1T:1:2110:9209:18549	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	1
M00595:42:000000000-A5J1T:1:2103:12609:12256	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
M00595:42:000000000-A5J1T:1:2118:5993:9253	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:1118:7580:11783	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0
M00595:42:000000000-A5J1T:1:1111:22854:14890	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0
M01896:15:000000000-A7EN9:1:1116:20726:2386	2	3	8	38	4	0	0	0	0	0	8	3	4	2	38	40	8	2	4	3
M00595:42:000000000-A5J1T:1:1101:24586:6961	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	6	0	0
M00595:42:000000000-A5J1T:1:1101:17902:11711	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	7	0	3
M01896:15:000000000-A7EN9:1:1112:22210:14815	2	2	0	2	0	0	0	0	0	0	0	2	0	2	2	3	2	3	1	6
M00595:42:000000000-A5J1T:1:2106:18068:14886	2	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	2	5	3	0
M00595:42:000000000-A5J1T:1:1103:24503:18151	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2111:14332:2052	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	2
M01896:14:000000000-A7ERE:1:1117:7685:14917	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	7	3	0
M00595:42:000000000-A5J1T:1:1113:9745:12040	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0
M00595:42:000000000-A5J1T:1:2119:17779:7320	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2103:23882:11921	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
M00595:42:000000000-A5J1T:1:2108:19655:7494	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:1103:22478:14234	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	1	3
M00595:42:000000000-A5J1T:1:1117:22407:15355	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2109:14004:4690	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:1119:26698:12847	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0
M00595:42:000000000-A5J1T:1:1107:13401:5450	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:1114:13739:4582	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2107:15411:2314	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2104:16085:24156	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2103:19752:5866	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M01896:15:000000000-A7EN9:1:1115:3727:9324	2	0	0	2	0	0	0	0	0	0	0	0	0	2	2	2	3	3	0	1
M00595:42:000000000-A5J1T:1:1117:8169:15649	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0
M00595:42:000000000-A5J1T:1:2105:20297:7136	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	1
M00595:42:000000000-A5J1T:1:2108:17147:14984	2	0	0	2	2	0	0	0	0	0	0	0	2	2	2	3	2	3	2	1
M00595:42:000000000-A5J1T:1:1104:24422:6958	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
M00595:42:000000000-A5J1T:1:2102:18076:6508	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0
M00595:42:000000000-A5J1T:1:2102:11756:6637	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M01896:2:000000000-A69JN:1:1117:9416:15210	2	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	2
M01896:2:000000000-A69JN:1:1110:13853:17214	4	2	0	0	0	0	0	0	0	0	0	2	0	4	0	2	2	4	5	4
M00595:42:000000000-A5J1T:1:1108:12079:18047	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0
M00595:42:000000000-A5J1T:1:2118:18842:3912	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	8	1	3
M00595:42:000000000-A5J1T:1:2118:19490:20239	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0
M00595:54:000000000-A7CT0:1:2113:11877:14685	2	4	0	0	3	0	0	0	0	0	0	4	3	2	0	2	0	6	4	8
M00595:42:000000000-A5J1T:1:2117:15404:10540	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1
M00595:42:000000000-A5J1T:1:2107:23043:12842	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	1
M00595:42:000000000-A5J1T:1:2118:17719:17063	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2110:3690:7889	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M01896:14:000000000-A7ERE:1:1106:26490:19187	4	0	0	4	4	0	0	0	0	0	0	0	4	4	4	9	7	8	4	1
M00595:42:000000000-A5J1T:1:1102:6113:15055	2	2	0	2	0	0	0	0	0	0	0	2	0	2	2	4	2	4	1	6
M00595:42:000000000-A5J1T:1:1105:20195:17082	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	3	0	1
M00595:54:000000000-A7CT0:1:1107:14682:9262	2	4	2	5	2	0	0	0	0	0	2	4	2	2	5	7	2	2	3	4
M00595:42:000000000-A5J1T:1:1107:10174:11946	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
M01896:15:000000000-A7EN9:1:2104:4761:16159	2	0	3	0	0	0	0	0	0	0	3	0	0	2	0	5	7	16	1	2
M00595:42:000000000-A5J1T:1:1101:18113:15573	6	0	0	2	0	0	0	0	0	0	0	0	0	6	0	5	6	16	2	6
M00595:42:000000000-A5J1T:1:1110:19598:8335	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	1
M00595:42:000000000-A5J1T:1:2101:28387:10620	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0
M00595:42:000000000-A5J1T:1:1104:22047:21009	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:1103:5564:13405	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	6	0	0
M01896:2:000000000-A69JN:1:2112:21789:4929	2	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	5
M00595:42:000000000-A5J1T:1:1117:10406:12776	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	3	0	0
M00595:54:000000000-A7CT0:1:1103:13592:17614	2	2	0	0	2	0	0	0	0	0	0	0	2	2	0	2	2	14	2	8
M00595:42:000000000-A5J1T:1:1110:4420:16445	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2102:6375:12280	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:1103:13479:10093	4	3	2	2	2	0	0	0	0	0	2	3	2	4	2	2	6	14	2	5
M00595:42:000000000-A5J1T:1:2105:28634:11921	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0
M00595:42:000000000-A5J1T:1:2111:17408:18525	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:1110:22901:17781	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:1115:16124:5853	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2103:12923:19445	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	1
M00595:42:000000000-A5J1T:1:2112:18910:16368	6	0	3	2	0	0	0	0	0	0	0	0	0	6	2	5	13	18	2	12
M00595:42:000000000-A5J1T:1:2112:16928:17313	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	2	2
M00595:42:000000000-A5J1T:1:1108:15839:3488	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	5	0	1
M00595:42:000000000-A5J1T:1:1112:8973:11569	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0
M00595:42:000000000-A5J1T:1:1109:16280:13898	2	2	0	2	0	0	0	0	0	0	0	2	0	2	2	3	1	4	0	2
M00595:42:000000000-A5J1T:1:2106:21690:10050	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	1	4
