#OTU ID	S13D7.MID110-110.P3.jan14_ncdenovo	P3D7.MID46-47.P1.apr13_ncdenovo	S13D7.MID95-95.P1.dec13_ncdenovo	S13D7.MID109-109.P1.jan14_ncdenovo	S13D7.MID101-101.P1.nov13_ncdenovo	S13D7.MID95-95.P1.dec13_otuclust	S13D7.MID101-101.P1.nov13_otuclust	P3D7.MID46-47.P1.apr13_otuclust	S13D7.MID109-109.P1.jan14_otuclust	S13D7.MID110-110.P3.jan14_otuclust	S13D7.MID110-110.P3.jan14_ncref	S13D7.MID95-95.P1.dec13_ncref	S13D7.MID109-109.P1.jan14_ncref	P3D7.MID46-47.P1.apr13_ncref	S13D7.MID101-101.P1.nov13_ncref	S13D7.MID110-110.P3.jan14	S13D7.MID109-109.P1.jan14	S13D7.MID101-101.P1.nov13	P3D7.MID46-47.P1.apr13	S13D7.MID95-95.P1.dec13
M01896:14:000000000-A7ERE:1:2116:14821:21832	714	143	300	633	1282	1	1	1	1	1	714	300	633	143	1282	1206	1162	2059	308	613
M01896:14:000000000-A7ERE:1:1117:17493:9488	1094	289	565	1031	1099	1	1	1	1	1	1094	565	1031	289	1099	2047	1990	1931	610	1195
M01896:2:000000000-A69JN:1:1106:10036:5574	662	182	343	548	747	1	1	1	1	1	664	343	548	182	747	1297	1114	1252	367	698
M01896:15:000000000-A7EN9:1:2117:24837:7459	512	185	324	538	399	1	1	1	1	1	512	324	538	185	399	865	950	724	333	601
M01896:15:000000000-A7EN9:1:1113:18156:6009	475	105	241	887	760	1	1	1	1	1	475	241	887	105	760	882	1645	1335	230	555
M00595:54:000000000-A7CT0:1:2113:19379:13810	719	198	549	1468	2051	1	1	1	1	1	719	549	1468	198	2053	1176	2431	3018	356	953
M01896:2:000000000-A69JN:1:1102:12111:14329	510	118	431	487	656	1	1	1	1	1	510	431	487	118	656	1062	1110	1253	274	935
M00595:54:000000000-A7CT0:1:1108:17828:14764	551	159	356	694	1674	1	1	1	1	1	551	356	694	159	1674	962	1300	2489	305	633
M00595:54:000000000-A7CT0:1:2109:12807:9008	83	47	13	73	28	1	1	1	1	1	85	13	73	47	28	245	250	100	126	51
M01896:2:000000000-A69JN:1:2108:10660:21238	98	49	41	102	144	1	1	1	1	1	98	41	102	49	144	291	321	366	139	157
