#OTU ID	PDD2.MID47-47.P2.apr13_ncdenovo	S1DD2.MID103-103.P2.nov13_ncdenovo	S1DD2.MID110-110.P4.jan14_ncdenovo	S1DD2.MID109-109.P2.jan14_ncdenovo	S1DD2.MID97-97.P2.dec13_ncdenovo	S1DD2.MID103-103.P2.nov13_otuclust	S1DD2.MID109-109.P2.jan14_otuclust	S1DD2.MID97-97.P2.dec13_otuclust	S1DD2.MID110-110.P4.jan14_otuclust	PDD2.MID47-47.P2.apr13_otuclust	S1DD2.MID110-110.P4.jan14_ncref	S1DD2.MID103-103.P2.nov13_ncref	S1DD2.MID97-97.P2.dec13_ncref	PDD2.MID47-47.P2.apr13_ncref	S1DD2.MID109-109.P2.jan14_ncref	S1DD2.MID109-109.P2.jan14	S1DD2.MID110-110.P4.jan14	PDD2.MID47-47.P2.apr13	S1DD2.MID97-97.P2.dec13	S1DD2.MID103-103.P2.nov13
M01896:14:000000000-A7ERE:1:1106:13350:9617	3211	1759	1809	1999	1381	1	1	1	1	1	1805	1759	1379	3197	1999	3071	2789	4449	2372	2573
M01896:14:000000000-A7ERE:1:2117:14496:24430	1842	997	972	922	1114	1	1	1	1	1	970	997	1114	1842	922	1683	1738	2765	1997	1575
M00595:42:000000000-A5J1T:1:2116:15237:12084	2646	1074	668	681	518	1	1	1	1	1	668	1077	518	2646	681	1321	1349	3890	1127	1801
M00595:42:000000000-A5J1T:1:2118:26937:7215	1230	638	364	367	375	1	1	1	1	1	364	638	383	1244	367	770	788	1991	789	1095
M01896:2:000000000-A69JN:1:1107:12949:22053	1651	814	718	1163	841	1	1	1	1	1	718	814	841	1651	1163	1994	1306	2358	1519	1303
M01896:14:000000000-A7ERE:1:1113:4092:11043	1735	852	733	1643	784	1	1	1	1	1	733	852	784	1735	1643	2685	1311	2514	1385	1374
M00595:42:000000000-A5J1T:1:2109:14970:23966	1518	752	490	418	500	1	1	1	1	1	490	750	500	1518	418	861	962	2338	980	1196
M01896:2:000000000-A69JN:1:2106:6750:17275	1934	522	563	454	408	1	1	1	1	1	563	531	413	1941	454	876	1009	2827	771	863
M01896:2:000000000-A69JN:1:1101:21868:10786	40	27	12	14	21	1	1	1	1	1	12	27	21	40	14	36	27	85	54	54
M00595:42:000000000-A5J1T:1:1112:23343:11856	1484	625	381	339	383	1	1	1	1	1	381	625	383	1488	337	781	848	2334	845	1087
M01896:2:000000000-A69JN:1:1104:22275:4570	1295	696	590	607	369	1	1	1	1	1	590	700	371	1316	613	1326	1266	2180	878	1188
M00595:42:000000000-A5J1T:1:2108:28567:12243	1281	732	638	559	529	1	1	1	1	1	638	734	529	1281	559	1099	1181	1896	1016	1142
M01896:15:000000000-A7EN9:1:2101:16163:10967	2148	1149	673	709	663	1	1	1	1	1	673	1147	663	2151	709	1564	1533	3561	1500	2017
M01896:14:000000000-A7ERE:1:1103:13337:10005	1144	495	318	392	287	1	1	1	1	1	320	495	287	1144	390	790	702	1866	653	909
M00595:42:000000000-A5J1T:1:2117:21474:11486	1210	1644	718	692	529	1	1	1	1	1	715	1644	529	1210	692	1477	1485	2003	1290	2638
M00595:42:000000000-A5J1T:1:1119:16330:23966	1167	334	297	245	165	1	1	1	1	1	297	334	165	1167	245	576	652	1863	416	656
M01896:15:000000000-A7EN9:1:1114:13795:22573	32	21	27	42	14	1	1	1	1	1	27	21	14	32	42	95	51	62	48	34
M00595:54:000000000-A7CT0:1:2116:4799:5713	27	56	61	165	116	1	1	1	1	1	61	56	116	27	165	372	156	60	252	105
M00595:42:000000000-A5J1T:1:1102:18660:12665	1031	496	312	278	250	1	1	1	1	1	312	494	250	1031	278	651	714	1657	595	913
