#OTU ID	S1HB3xDD2.MID109-109.P4.jan14_ncdenovo	S1HB3xDD2.MID110-110.P2.jan14_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_ncdenovo	S1HB3xDD2.MID104-104.P2.nov13_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_otuclust	S1HB3xDD2.MID104-104.P2.nov13_otuclust	S1HB3xDD2.MID110-110.P2.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13_ncref	S1HB3xDD2.MID98-98.P2.dec13_ncref	S1HB3xDD2.MID110-110.P2.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13	S1HB3xDD2.MID109-109.P4.jan14	S1HB3xDD2.MID98-98.P2.dec13	S1HB3xDD2.MID110-110.P2.jan14	PDD2xHB3.MID47-48.P2.apr13_ncdenovo	PDD2xHB3.MID47-48.P2.apr13_otuclust	PDD2xHB3.MID47-48.P2.apr13_ncref	PDD2xHB3.MID47-48.P2.apr13
M01896:14:000000000-A7ERE:1:2109:26315:18455	1635	962	832	1126	1	1	1	1	1635	1126	834	964	1814	2622	1558	1622	1413	1	1413	2232
M01896:2:000000000-A69JN:1:1116:27833:12295	1358	628	953	1038	1	1	1	1	1358	1038	953	628	1715	2501	1764	1158	923	1	923	1582
M00595:42:000000000-A5J1T:1:2112:19464:17422	835	372	401	581	1	1	1	1	837	581	401	372	1003	1612	764	662	930	1	930	1548
M00595:42:000000000-A5J1T:1:1101:4532:12230	1037	452	750	597	1	1	1	1	1037	601	759	452	1050	1953	1316	876	880	1	880	1480
M01896:15:000000000-A7EN9:1:1115:28876:13171	828	654	739	1171	1	1	1	1	828	1173	739	654	1981	1664	1449	1285	843	1	843	1494
M00595:54:000000000-A7CT0:1:1118:10244:10451	253	214	132	295	1	1	1	1	253	301	134	214	648	633	350	525	587	1	591	1107
M00595:42:000000000-A5J1T:1:1116:17374:4600	198	159	120	316	1	1	1	1	198	316	120	159	639	530	301	400	408	1	408	817
M00595:42:000000000-A5J1T:1:1102:27999:19813	170	170	110	345	1	1	1	1	170	345	110	170	717	483	314	418	456	1	456	905
M01896:2:000000000-A69JN:1:1114:7859:11051	246	165	210	370	1	1	1	1	248	370	210	165	693	613	457	389	277	1	277	528
M01896:14:000000000-A7ERE:1:2112:19502:16076	192	129	54	263	1	1	1	1	192	263	54	129	567	591	165	363	156	1	156	369
M01896:2:000000000-A69JN:1:2103:5035:6461	264	217	118	277	1	1	1	1	264	279	120	217	601	643	289	573	583	1	583	1145
M00595:42:000000000-A5J1T:1:2103:20766:3210	303	287	233	381	1	1	1	1	303	383	233	287	717	665	496	589	792	1	794	1398
M01896:14:000000000-A7ERE:1:1101:28628:8590	169	129	80	224	1	1	1	1	169	224	80	129	449	469	223	333	297	0	297	576
M00595:42:000000000-A5J1T:1:1110:15599:11188	156	130	90	224	1	1	1	1	156	224	90	130	481	418	252	330	438	1	438	822
M01896:14:000000000-A7ERE:1:2119:20537:21154	245	120	85	185	1	1	1	1	249	185	85	120	401	633	235	296	286	1	286	611
M01896:14:000000000-A7ERE:1:1112:20535:7984	614	610	394	830	1	1	1	1	614	832	398	612	1417	1281	759	1119	925	1	925	1582
M01896:15:000000000-A7EN9:1:2114:5816:14728	250	139	214	309	1	1	1	1	248	309	220	139	607	559	488	322	212	1	212	454
M01896:15:000000000-A7EN9:1:1108:21573:19530	559	466	355	684	1	1	1	1	563	686	355	466	1370	1283	841	1067	621	1	621	1155
M00595:42:000000000-A5J1T:1:1111:20695:14539	520	414	248	653	1	1	1	1	524	655	246	414	1336	1305	661	910	1124	1	1126	2070
M01896:15:000000000-A7EN9:1:1104:19193:7159	319	219	203	507	1	1	1	1	319	507	203	219	1036	881	543	550	403	1	403	835
M00595:54:000000000-A7CT0:1:1103:23391:21826	151	140	92	226	1	1	1	1	157	226	92	140	475	419	215	320	490	1	490	903
M01896:15:000000000-A7EN9:1:1113:19402:4774	290	181	153	337	1	1	1	1	290	337	153	181	615	616	367	397	551	1	551	1030
M01896:14:000000000-A7ERE:1:1105:17764:11178	155	67	85	157	1	1	1	1	157	157	87	67	352	419	198	166	179	1	181	359
M01896:2:000000000-A69JN:1:2106:22046:6896	234	200	204	308	1	1	1	1	234	316	207	200	650	546	480	428	569	1	573	1021
M00595:54:000000000-A7CT0:1:1107:24083:11329	104	96	95	173	1	1	1	1	104	175	97	96	344	274	213	183	366	1	366	622
M01896:14:000000000-A7ERE:1:1118:28109:19685	115	45	28	59	1	1	1	1	115	59	28	47	107	234	62	101	107	1	107	224
M01896:14:000000000-A7ERE:1:1110:9532:2564	177	57	37	75	1	1	1	1	177	75	37	57	173	479	84	154	159	1	159	355
M00595:54:000000000-A7CT0:1:2103:18158:13513	106	72	85	194	1	1	1	1	104	194	85	72	414	338	250	177	100	1	100	246
M01896:2:000000000-A69JN:1:2108:18795:15961	130	74	41	156	1	1	1	1	130	156	41	74	380	358	148	257	295	1	295	612
M01896:14:000000000-A7ERE:1:2103:15285:8532	175	88	77	289	1	1	1	1	175	293	77	88	622	487	221	293	306	1	308	683
M01896:15:000000000-A7EN9:1:1101:13235:7788	73	59	50	103	1	1	1	1	73	103	52	61	254	206	148	138	152	1	152	305
M00595:54:000000000-A7CT0:1:1108:15227:11423	132	69	77	200	1	1	1	1	132	200	75	69	443	349	200	218	84	1	84	219
M00595:42:000000000-A5J1T:1:2113:17249:17301	93	25	11	45	1	1	1	1	93	45	11	25	90	222	37	50	123	1	123	247
M00595:54:000000000-A7CT0:1:1118:9403:14996	89	114	60	173	1	1	1	1	89	175	60	116	340	250	145	234	240	1	240	506
M00595:42:000000000-A5J1T:1:2116:13071:19218	124	68	97	193	1	1	1	1	124	193	94	68	388	321	232	207	336	1	340	725
M01896:14:000000000-A7ERE:1:2113:13542:19521	131	75	55	191	1	1	1	1	131	191	55	75	465	419	181	201	91	1	91	222
M00595:54:000000000-A7CT0:1:2118:16062:14962	47	45	28	98	1	1	1	1	47	98	28	45	196	122	70	125	113	1	113	236
M00595:42:000000000-A5J1T:1:2119:7483:12228	84	22	11	19	1	1	1	1	84	21	11	22	53	193	32	50	97	1	97	196
M00595:54:000000000-A7CT0:1:2105:16671:23179	54	71	84	127	1	1	1	1	54	129	84	71	270	157	205	164	163	1	163	340
M00595:42:000000000-A5J1T:1:2112:13405:4392	81	45	50	79	1	1	1	1	79	79	50	45	206	233	149	139	131	1	133	307
M01896:2:000000000-A69JN:1:1112:12742:6806	81	56	34	120	1	1	1	1	81	120	34	58	298	242	111	140	182	1	182	345
M01896:14:000000000-A7ERE:1:1110:4845:13367	81	41	36	99	1	1	1	1	81	101	36	41	223	183	93	123	106	1	106	262
M01896:14:000000000-A7ERE:1:1109:16987:11794	76	50	0	87	0	0	0	0	76	87	27	50	187	204	109	136	83	0	81	221
M00595:42:000000000-A5J1T:1:1115:16610:6939	81	69	93	220	1	1	1	1	81	220	93	69	622	281	313	295	307	1	309	698
