#OTU ID	PHB3.MID46-48.P1.apr13_ncdenovo	S1HB3.MID102-102.P1.nov13_ncdenovo	S1HB3.MID109-109.P3.jan14_ncdenovo	S1HB3.MID96-96.P1.dec13_ncdenovo	S1HB3.MID110-110.P1.jan14_ncdenovo	S1HB3.MID110-110.P1.jan14_otuclust	S1HB3.MID96-96.P1.dec13_otuclust	S1HB3.MID102-102.P1.nov13_otuclust	S1HB3.MID109-109.P3.jan14_otuclust	PHB3.MID46-48.P1.apr13_otuclust	S1HB3.MID109-109.P3.jan14_ncref	S1HB3.MID96-96.P1.dec13_ncref	S1HB3.MID110-110.P1.jan14_ncref	S1HB3.MID102-102.P1.nov13_ncref	PHB3.MID46-48.P1.apr13_ncref	S1HB3.MID110-110.P1.jan14	S1HB3.MID109-109.P3.jan14	PHB3.MID46-48.P1.apr13	S1HB3.MID102-102.P1.nov13	S1HB3.MID96-96.P1.dec13
M01896:2:000000000-A69JN:1:1105:10771:10259	1357	5705	1219	995	1662	1	1	1	1	1	1219	995	1662	5705	1357	3094	2521	2366	8355	1862
M01896:2:000000000-A69JN:1:1117:25739:18532	1360	4208	2064	763	1645	1	1	1	1	1	2064	763	1645	4208	1360	2727	3583	2314	5989	1409
M00595:54:000000000-A7CT0:1:2102:13936:14111	711	2672	916	512	852	1	1	1	1	1	916	512	852	2672	711	1457	1511	1248	3833	902
M00595:42:000000000-A5J1T:1:1102:21813:22385	199	307	110	170	90	1	1	1	1	1	110	170	90	307	199	203	243	372	596	344
M01896:2:000000000-A69JN:1:2115:26093:7581	202	286	163	245	289	1	1	1	1	1	163	245	289	286	202	617	378	450	593	517
M00595:54:000000000-A7CT0:1:1113:12371:15671	256	403	133	208	135	1	1	1	1	1	133	208	135	401	256	319	321	521	816	453
M01896:2:000000000-A69JN:1:2110:17836:2729	703	1037	303	573	389	1	1	1	1	1	303	573	389	1037	703	710	614	1199	1608	1028
M00595:54:000000000-A7CT0:1:1101:14894:3987	680	1293	749	864	641	1	1	1	1	1	749	864	641	1293	680	1113	1363	1152	2095	1522
M00595:54:000000000-A7CT0:1:2110:14693:15849	425	1976	558	257	605	1	1	1	1	1	558	257	605	1974	425	1117	1077	820	3020	575
M00595:54:000000000-A7CT0:1:2110:14602:17236	561	1776	996	735	539	1	1	1	1	1	996	735	539	1776	561	950	1758	983	2665	1232
M01896:2:000000000-A69JN:1:2114:7858:6525	74	267	47	5	27	1	1	1	1	1	47	5	27	267	74	51	132	160	497	10
M01896:15:000000000-A7EN9:1:2110:23920:22798	751	2531	803	373	617	1	1	1	1	1	803	373	615	2527	751	1371	1765	1446	4235	803
M01896:15:000000000-A7EN9:1:2106:10212:18012	187	532	62	93	104	1	1	1	1	1	62	93	104	532	187	355	275	432	1312	278
M01896:15:000000000-A7EN9:1:1113:13754:18743	405	721	245	413	352	1	1	1	1	1	245	413	352	721	405	687	602	757	1219	846
M00595:54:000000000-A7CT0:1:1108:12019:12136	291	505	168	242	171	1	1	1	1	1	168	242	171	501	291	409	435	605	1016	587
M01896:2:000000000-A69JN:1:2119:24482:13604	404	2583	546	323	597	1	1	1	1	1	546	323	597	2583	404	1183	1068	763	3882	709
M01896:2:000000000-A69JN:1:2119:18333:15352	50	172	87	25	31	1	1	1	1	1	87	25	31	172	50	75	198	99	362	64
M01896:14:000000000-A7ERE:1:1116:8588:17805	238	966	294	111	277	1	1	1	1	1	294	111	277	966	238	678	783	537	1881	294
M00595:42:000000000-A5J1T:1:2118:5972:12370	445	546	206	287	220	1	1	1	1	1	206	287	220	546	449	519	483	895	1022	652
M00595:54:000000000-A7CT0:1:2106:25583:12560	306	644	239	236	221	1	1	1	1	1	239	236	221	644	306	617	561	713	1240	624
M00595:42:000000000-A5J1T:1:2113:12729:10962	251	1116	260	113	262	1	1	1	1	1	260	113	262	1114	251	608	627	509	1972	295
M00595:42:000000000-A5J1T:1:1109:10568:4527	96	131	10	26	13	1	1	1	1	1	10	26	13	131	96	71	60	290	437	93
M00595:42:000000000-A5J1T:1:2109:12829:8776	512	838	132	266	137	1	1	1	1	1	132	266	137	838	512	451	488	1194	1941	752
M00595:54:000000000-A7CT0:1:2110:22525:11223	255	724	135	384	244	1	1	1	1	1	135	384	244	724	255	488	301	508	1209	786
M00595:42:000000000-A5J1T:1:1115:21420:14530	45	71	5	6	8	1	1	1	1	1	5	6	8	71	45	41	30	125	215	34
M01896:15:000000000-A7EN9:1:1109:11341:10167	304	642	178	382	193	1	1	1	1	1	178	382	193	642	304	393	402	595	1156	784
M01896:2:000000000-A69JN:1:1104:23093:19388	200	447	98	158	112	1	1	1	1	1	98	158	112	447	200	289	251	429	844	382
M01896:14:000000000-A7ERE:1:1114:23479:10794	224	455	114	189	171	1	1	1	1	1	114	189	171	455	224	422	286	460	902	514
M01896:2:000000000-A69JN:1:2119:6921:8452	252	1069	300	129	259	1	1	1	1	1	300	129	259	1069	252	644	682	547	1915	312
M01896:2:000000000-A69JN:1:1111:16159:13244	538	1587	563	287	527	1	1	1	1	1	563	287	527	1587	538	1121	1137	990	2632	638
M01896:14:000000000-A7ERE:1:2117:5259:13066	301	539	197	291	244	1	1	1	1	1	197	291	244	539	301	543	480	649	979	664
M01896:15:000000000-A7EN9:1:2106:10126:2504	222	356	87	238	130	1	1	1	1	1	87	238	130	356	222	358	219	487	724	539
M00595:54:000000000-A7CT0:1:2118:24967:17422	338	781	477	394	238	1	1	1	1	1	475	394	238	779	338	553	971	664	1330	741
M01896:14:000000000-A7ERE:1:2110:16399:20153	256	407	107	193	129	1	1	1	1	1	107	193	129	407	256	329	288	544	759	447
M01896:2:000000000-A69JN:1:1106:24639:22481	4	4	0	2	4	0	0	0	0	0	0	2	4	4	4	10	11	7	15	4
M00595:54:000000000-A7CT0:1:2119:21019:21058	343	1219	558	66	197	1	1	1	1	1	558	66	197	1219	343	412	1054	612	1933	130
M00595:42:000000000-A5J1T:1:2109:17167:8537	269	392	157	236	157	0	0	0	0	0	157	236	157	392	269	371	369	584	788	483
M01896:2:000000000-A69JN:1:1107:11120:3637	121	369	64	131	146	1	1	1	1	1	66	131	146	369	121	338	159	281	691	333
M00595:42:000000000-A5J1T:1:1117:22257:4518	3	32	2	0	0	0	0	1	1	1	2	0	0	32	3	0	8	7	62	0
M01896:2:000000000-A69JN:1:1101:7999:12211	219	390	527	26	288	0	0	0	0	0	527	26	288	390	219	312	573	226	401	28
M01896:2:000000000-A69JN:1:2112:14298:22527	2	12	2	4	2	0	0	0	0	0	2	4	2	12	2	2	3	3	14	4
M00595:42:000000000-A5J1T:1:2108:24522:7777	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0
	6	11	4	2	2	1	1	2	1	2	4	2	2	11	6	18	29	21	54	12
M00595:54:000000000-A7CT0:1:2115:12144:12443	228	483	160	162	184	0	0	0	0	0	160	162	184	483	228	382	376	461	891	424
M00595:42:000000000-A5J1T:1:1118:20931:14632	4	2	0	0	3	0	0	0	0	0	0	0	3	2	4	4	1	6	3	2
