#OTU ID	PHB3.MID46-48.P1.apr13_ncdenovo	S1HB3.MID102-102.P1.nov13_ncdenovo	S1HB3.MID109-109.P3.jan14_ncdenovo	S1HB3.MID96-96.P1.dec13_ncdenovo	S1HB3.MID110-110.P1.jan14_ncdenovo	S1HB3.MID110-110.P1.jan14_otuclust	S1HB3.MID96-96.P1.dec13_otuclust	S1HB3.MID102-102.P1.nov13_otuclust	S1HB3.MID109-109.P3.jan14_otuclust	PHB3.MID46-48.P1.apr13_otuclust	S1HB3.MID109-109.P3.jan14_ncref	S1HB3.MID96-96.P1.dec13_ncref	S1HB3.MID110-110.P1.jan14_ncref	S1HB3.MID102-102.P1.nov13_ncref	PHB3.MID46-48.P1.apr13_ncref	S1HB3.MID110-110.P1.jan14	S1HB3.MID109-109.P3.jan14	PHB3.MID46-48.P1.apr13	S1HB3.MID102-102.P1.nov13	S1HB3.MID96-96.P1.dec13
M01896:2:000000000-A69JN:1:2110:17836:2729	598	943	203	551	332	1	1	1	1	1	203	551	332	943	598	626	476	1049	1454	949
M00595:54:000000000-A7CT0:1:2102:13936:14111	602	2444	602	481	706	1	1	1	1	1	602	481	706	2444	602	1244	1127	1087	3463	808
M01896:2:000000000-A69JN:1:1111:16159:13244	479	1447	416	276	439	1	1	1	1	1	416	276	439	1447	479	973	898	886	2360	586
M01896:2:000000000-A69JN:1:1117:25739:18532	738	3172	844	383	809	1	1	1	0	1	844	383	809	3172	738	1241	1378	1168	2758	671
M01896:2:000000000-A69JN:1:1105:10771:10259	1290	5329	945	971	1533	1	1	1	1	1	945	971	1533	5329	1290	2458	1593	1997	7211	1688
M00595:54:000000000-A7CT0:1:1101:14894:3987	578	1139	463	829	514	1	1	1	1	1	463	829	514	1139	578	918	949	1000	1826	1396
M00595:54:000000000-A7CT0:1:2110:14602:17236	500	1602	690	695	434	1	1	1	1	1	690	695	434	1602	500	800	1354	900	2414	1139
M01896:2:000000000-A69JN:1:1106:25027:6109	577	754	903	350	724	0	0	0	1	0	903	350	724	754	577	875	1095	751	2093	470
M00595:42:000000000-A5J1T:1:2118:5972:12370	377	492	113	277	184	1	1	1	0	1	113	277	184	492	377	442	343	766	907	601
M01896:2:000000000-A69JN:1:2104:14854:17990	45	29	41	7	24	0	0	0	0	0	41	7	24	29	45	25	41	46	29	7
