#OTU ID	S1HB3xDD2.MID109-109.P4.jan14_ncdenovo	S1HB3xDD2.MID110-110.P2.jan14_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_ncdenovo	S1HB3xDD2.MID104-104.P2.nov13_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_otuclust	S1HB3xDD2.MID104-104.P2.nov13_otuclust	S1HB3xDD2.MID110-110.P2.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13_ncref	S1HB3xDD2.MID98-98.P2.dec13_ncref	S1HB3xDD2.MID110-110.P2.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13	S1HB3xDD2.MID109-109.P4.jan14	S1HB3xDD2.MID98-98.P2.dec13	S1HB3xDD2.MID110-110.P2.jan14	PDD2xHB3.MID47-48.P2.apr13_ncdenovo	PDD2xHB3.MID47-48.P2.apr13_otuclust	PDD2xHB3.MID47-48.P2.apr13_ncref	PDD2xHB3.MID47-48.P2.apr13
M00595:42:000000000-A5J1T:1:2112:19464:17422	835	372	401	581	1	1	1	1	835	581	401	372	1000	1597	757	657	930	1	930	1534
M01896:2:000000000-A69JN:1:1116:27833:12295	840	522	855	903	1	1	1	1	840	903	855	522	1478	1654	1560	965	851	1	851	1425
M00595:42:000000000-A5J1T:1:1101:4532:12230	1035	452	750	597	1	1	1	1	1035	597	750	452	1024	1891	1275	851	880	1	880	1459
M01896:15:000000000-A7EN9:1:1115:28876:13171	824	652	735	1163	1	1	1	1	824	1163	735	652	1936	1628	1427	1267	843	1	843	1477
M01896:14:000000000-A7ERE:1:2109:26315:18455	1613	946	826	1105	1	1	1	1	1613	1105	826	946	1740	2514	1513	1558	1408	1	1408	2183
M01896:2:000000000-A69JN:1:1114:7859:11051	246	165	210	368	1	1	1	1	246	368	210	165	676	591	446	384	277	1	277	520
M00595:42:000000000-A5J1T:1:1116:17374:4600	198	157	120	316	1	1	1	1	198	316	120	157	621	507	294	386	408	1	408	798
M00595:42:000000000-A5J1T:1:1102:27999:19813	170	170	110	345	1	1	1	1	170	345	110	170	693	466	304	406	456	1	456	889
M01896:14:000000000-A7ERE:1:2112:19502:16076	190	129	54	261	1	1	1	1	190	261	54	129	546	568	161	349	156	1	156	363
M01896:15:000000000-A7EN9:1:1113:14016:24590	426	346	206	600	1	1	1	1	426	600	206	348	1111	992	472	759	1163	1	1163	1953
M01896:14:000000000-A7ERE:1:1101:28628:8590	169	129	80	222	1	1	1	1	169	222	80	129	432	446	212	327	297	0	297	564
M01896:15:000000000-A7EN9:1:2114:5816:14728	248	139	212	309	1	1	1	1	248	309	214	139	585	533	463	301	212	1	212	442
M00595:42:000000000-A5J1T:1:2102:22099:5968	113	144	106	278	1	1	1	1	113	278	106	144	485	267	267	322	272	1	272	482
M00595:42:000000000-A5J1T:1:1110:15599:11188	156	130	90	224	1	1	1	1	156	224	90	130	469	400	243	319	438	1	438	809
M00595:54:000000000-A7CT0:1:1118:10244:10451	253	214	132	293	1	1	1	1	253	293	132	214	583	573	316	471	587	1	587	1060
M01896:14:000000000-A7ERE:1:2119:20537:21154	245	120	85	185	1	1	1	1	245	185	85	120	387	609	227	286	284	1	284	597
M00595:42:000000000-A5J1T:1:1111:20695:14539	516	414	248	647	1	1	1	1	516	647	246	414	1274	1228	635	859	1122	1	1122	2026
M01896:14:000000000-A7ERE:1:1105:17764:11178	155	67	85	157	1	1	1	1	155	157	87	67	339	394	190	161	179	1	181	345
M00595:54:000000000-A7CT0:1:1103:23391:21826	151	140	92	224	1	1	1	1	155	224	92	140	459	396	209	314	488	1	488	885
M01896:15:000000000-A7EN9:1:1113:19402:4774	290	181	153	337	1	1	1	1	290	337	153	181	604	601	358	387	551	1	551	1008
M01896:14:000000000-A7ERE:1:2113:13542:19521	131	75	55	188	1	1	1	1	131	188	55	75	448	407	175	189	91	1	91	222
M01896:2:000000000-A69JN:1:2103:5035:6461	264	217	118	277	1	1	1	1	264	277	118	217	581	615	278	537	581	1	581	1111
M00595:54:000000000-A7CT0:1:1107:24083:11329	104	96	93	173	1	1	1	1	104	173	93	96	327	262	206	180	364	1	364	607
M00595:42:000000000-A5J1T:1:2116:13071:19218	124	68	94	193	1	1	1	1	124	193	94	68	378	298	214	190	336	1	336	695
M01896:14:000000000-A7ERE:1:1118:28109:19685	115	45	28	57	1	1	1	1	115	57	28	45	101	230	60	94	107	1	107	211
M01896:14:000000000-A7ERE:1:1110:9532:2564	177	57	37	73	1	1	1	1	177	73	37	57	165	464	82	146	159	1	159	343
M00595:54:000000000-A7CT0:1:2103:18158:13513	104	72	85	194	1	1	1	1	104	194	85	72	401	314	240	168	100	1	100	233
M01896:2:000000000-A69JN:1:2108:18795:15961	128	74	38	150	1	1	1	1	128	150	38	74	345	339	137	241	292	1	292	591
M01896:14:000000000-A7ERE:1:2103:15285:8532	95	45	39	235	1	1	1	1	95	235	39	45	330	292	124	171	153	0	153	376
M01896:15:000000000-A7EN9:1:1101:13235:7788	73	59	50	103	1	1	1	1	73	103	50	59	228	186	135	125	152	1	152	300
M00595:54:000000000-A7CT0:1:1108:15227:11423	128	67	77	200	1	1	1	1	128	200	75	67	420	329	198	203	84	1	84	206
M00595:54:000000000-A7CT0:1:1103:15693:9915	268	81	184	145	1	1	1	1	268	145	184	81	265	524	371	170	134	1	134	280
M00595:42:000000000-A5J1T:1:2113:17249:17301	93	25	11	45	1	1	1	1	93	45	11	25	82	217	35	48	123	1	123	237
M00595:54:000000000-A7CT0:1:1118:9403:14996	89	114	60	171	1	1	1	1	89	171	60	114	321	236	136	221	240	1	240	485
M01896:2:000000000-A69JN:1:1112:12742:6806	81	54	34	116	1	1	1	1	81	116	34	56	275	217	97	125	182	1	182	332
M00595:54:000000000-A7CT0:1:2118:16062:14962	47	45	28	98	1	1	1	1	47	98	28	45	188	120	68	114	113	1	113	233
M01896:2:000000000-A69JN:1:2106:22046:6896	232	200	199	304	1	1	1	1	232	304	199	200	601	505	445	402	569	1	569	987
M00595:42:000000000-A5J1T:1:2119:7483:12228	84	22	11	19	1	1	1	1	84	21	11	22	50	184	32	50	97	1	97	194
M00595:54:000000000-A7CT0:1:2105:16671:23179	54	71	84	127	1	1	1	1	54	127	84	71	261	155	204	157	163	1	163	334
M00595:42:000000000-A5J1T:1:2112:13405:4392	79	45	50	79	1	1	1	1	79	79	50	45	197	218	144	133	131	1	131	295
M01896:14:000000000-A7ERE:1:1110:4845:13367	81	41	36	99	1	1	1	1	81	101	36	41	213	174	87	118	106	1	106	256
M01896:14:000000000-A7ERE:1:1109:16987:11794	76	50	0	87	0	0	0	0	76	87	27	50	178	195	104	129	83	0	81	211
M01896:2:000000000-A69JN:1:2102:14002:15481	70	61	76	141	1	1	1	1	70	141	76	61	312	190	179	152	208	1	208	423
M00595:42:000000000-A5J1T:1:1115:16610:6939	81	69	93	214	1	1	1	1	81	214	93	69	589	270	300	285	307	1	307	682
M00595:42:000000000-A5J1T:1:2113:17247:23378	63	66	20	96	1	1	1	1	63	96	20	66	195	164	42	154	135	1	135	273
M01896:14:000000000-A7ERE:1:1110:23623:19485	52	44	26	93	0	0	0	0	52	93	26	44	176	147	83	117	104	0	104	233
M01896:14:000000000-A7ERE:1:1106:13389:17406	37	47	22	83	1	1	1	1	37	85	22	47	185	99	64	109	51	1	51	109
M01896:15:000000000-A7EN9:1:1114:22486:19273	60	29	41	47	1	1	1	1	60	47	41	29	113	127	94	62	106	1	106	213
M00595:42:000000000-A5J1T:1:1104:20455:11573	36	45	21	102	1	1	1	1	36	102	21	45	249	124	77	118	105	1	105	225
M01896:2:000000000-A69JN:1:1107:18770:23171	45	23	25	94	1	1	1	1	45	94	23	23	193	113	57	75	93	1	93	211
M01896:14:000000000-A7ERE:1:2118:21973:2710	37	17	7	23	1	1	1	1	37	23	7	17	37	77	22	31	67	1	67	129
M01896:15:000000000-A7EN9:1:1104:6658:20006	36	8	24	19	1	1	1	1	36	19	24	8	45	84	54	25	36	1	38	86
M01896:15:000000000-A7EN9:1:1112:13650:24235	491	379	304	553	1	1	1	1	491	553	302	376	1039	1128	734	843	441	1	441	863
	34	29	12	41	2	2	2	3	32	41	12	29	80	98	39	68	123	3	121	254
M00595:42:000000000-A5J1T:1:2113:24314:19403	26	8	4	10	1	1	1	1	26	10	4	8	24	44	10	16	80	1	80	166
M01896:14:000000000-A7ERE:1:1112:20535:7984	614	610	394	830	1	1	1	1	614	830	394	610	1395	1260	744	1107	925	1	925	1567
M01896:15:000000000-A7EN9:1:1111:21817:2894	26	2	3	8	1	1	1	1	26	8	0	2	24	56	17	12	31	1	31	80
M01896:2:000000000-A69JN:1:2113:12405:10532	514	102	96	129	0	0	0	0	514	129	96	102	187	754	133	152	70	0	70	109
M01896:14:000000000-A7ERE:1:1110:5232:11002	26	31	30	105	1	1	1	1	26	105	30	31	307	123	127	99	73	1	73	181
M01896:14:000000000-A7ERE:1:2117:24550:5632	446	369	265	494	1	1	1	1	446	494	265	369	856	878	545	707	684	1	684	1185
M00595:42:000000000-A5J1T:1:1117:20381:8751	47	35	46	140	1	1	1	1	47	140	46	35	387	185	147	154	225	1	225	558
M01896:14:000000000-A7ERE:1:1103:14337:9938	348	133	254	259	1	1	1	1	350	259	256	133	469	720	497	283	273	1	273	503
