#OTU ID	S13D7.MID110-110.P3.jan14_ncdenovo	P3D7.MID46-47.P1.apr13_ncdenovo	S13D7.MID95-95.P1.dec13_ncdenovo	S13D7.MID109-109.P1.jan14_ncdenovo	S13D7.MID101-101.P1.nov13_ncdenovo	S13D7.MID95-95.P1.dec13_otuclust	S13D7.MID101-101.P1.nov13_otuclust	P3D7.MID46-47.P1.apr13_otuclust	S13D7.MID109-109.P1.jan14_otuclust	S13D7.MID110-110.P3.jan14_otuclust	S13D7.MID110-110.P3.jan14_ncref	S13D7.MID95-95.P1.dec13_ncref	S13D7.MID109-109.P1.jan14_ncref	P3D7.MID46-47.P1.apr13_ncref	S13D7.MID101-101.P1.nov13_ncref	S13D7.MID110-110.P3.jan14	S13D7.MID109-109.P1.jan14	S13D7.MID101-101.P1.nov13	P3D7.MID46-47.P1.apr13	S13D7.MID95-95.P1.dec13
M01896:14:000000000-A7ERE:1:1117:17493:9488	1094	289	565	1031	1099	1	1	1	1	1	1094	565	1031	289	1099	2036	1982	1924	605	1187
M01896:2:000000000-A69JN:1:1106:10036:5574	662	182	343	548	747	1	1	1	1	1	662	343	548	182	747	1284	1111	1245	366	695
M01896:14:000000000-A7ERE:1:2116:14821:21832	714	143	300	633	1282	1	1	1	1	1	714	300	633	143	1282	1204	1162	2057	308	613
M00595:54:000000000-A7CT0:1:2113:19379:13810	719	198	549	1468	2049	1	1	1	1	1	719	549	1468	198	2049	1173	2422	3010	356	947
M01896:2:000000000-A69JN:1:1102:12111:14329	510	118	431	487	656	1	1	1	1	1	510	431	487	118	656	1046	1100	1247	273	926
M01896:15:000000000-A7EN9:1:1114:17837:15525	173	77	106	158	472	1	1	1	1	1	173	106	158	77	472	420	437	1119	198	256
M00595:54:000000000-A7CT0:1:2109:12807:9008	83	47	13	73	28	1	1	1	1	1	85	13	73	47	28	242	248	100	126	50
M00595:54:000000000-A7CT0:1:1108:17828:14764	551	159	356	694	1674	1	1	1	1	1	551	356	694	159	1674	962	1299	2489	305	632
M01896:15:000000000-A7EN9:1:2117:24837:7459	512	185	324	538	399	1	1	1	1	1	512	324	538	185	399	862	945	723	331	601
M00595:54:000000000-A7CT0:1:1119:25019:15779	299	80	146	412	416	1	1	1	1	1	299	146	412	80	416	693	939	874	180	395
M01896:14:000000000-A7ERE:1:1112:6257:4532	312	134	170	326	255	1	1	1	1	1	312	172	328	134	255	603	679	483	259	405
M00595:42:000000000-A5J1T:1:2119:4751:12624	344	119	210	455	555	1	1	1	1	1	344	210	455	119	555	821	1056	1159	278	551
M01896:14:000000000-A7ERE:1:1107:5396:11262	49	60	22	76	93	1	1	1	1	1	49	22	76	60	93	115	177	223	146	67
M01896:14:000000000-A7ERE:1:1106:18179:11015	191	83	96	154	235	1	1	1	1	1	191	96	154	83	235	415	385	527	184	223
M01896:2:000000000-A69JN:1:2113:20233:5335	319	147	212	256	455	1	1	1	1	1	319	212	256	147	455	591	551	839	293	458
M01896:14:000000000-A7ERE:1:2117:2856:11558	255	92	68	298	623	1	1	1	1	1	255	68	298	92	623	487	612	1060	200	170
M01896:14:000000000-A7ERE:1:1107:16089:13717	151	63	100	171	201	1	1	1	1	1	149	102	171	63	201	388	380	434	140	243
M01896:2:000000000-A69JN:1:2115:24575:13627	182	75	158	321	340	1	1	1	1	1	182	158	321	75	340	346	666	616	148	321
M01896:15:000000000-A7EN9:1:1111:13958:24300	396	121	199	350	615	1	1	1	1	1	394	201	350	121	615	736	707	1126	282	430
M00595:42:000000000-A5J1T:1:1118:23443:12109	198	81	113	224	245	1	1	1	1	1	200	113	224	81	245	469	527	485	179	307
M01896:2:000000000-A69JN:1:1118:25047:15188	160	64	77	166	249	1	1	1	1	1	160	77	168	64	249	396	438	589	129	205
M01896:2:000000000-A69JN:1:2103:24247:5752	59	75	44	66	67	1	1	1	1	1	61	46	66	75	67	237	262	229	210	153
M01896:2:000000000-A69JN:1:1107:14655:24468	162	108	146	193	669	1	1	1	1	1	162	151	193	108	673	641	760	1802	298	464
M01896:15:000000000-A7EN9:1:1113:18156:6009	475	105	241	887	760	1	1	1	1	1	475	241	887	105	760	876	1630	1334	230	555
M00595:42:000000000-A5J1T:1:2109:4400:18210	187	53	112	183	350	1	1	1	1	1	187	112	183	53	350	435	400	682	142	246
M01896:2:000000000-A69JN:1:1111:23673:3749	158	65	74	140	191	1	1	1	1	1	158	74	140	65	191	375	373	461	163	212
M01896:15:000000000-A7EN9:1:2104:4379:6102	175	105	92	209	143	1	1	1	1	1	175	92	209	105	143	393	466	305	205	226
M01896:2:000000000-A69JN:1:2112:15940:4616	40	18	15	38	125	1	1	1	1	1	40	15	38	18	125	138	144	300	53	58
M00595:42:000000000-A5J1T:1:2105:18474:13703	137	58	78	161	294	1	1	1	1	1	137	78	161	58	294	324	390	579	130	190
M01896:15:000000000-A7EN9:1:1113:29073:16432	121	33	39	102	124	1	1	1	1	1	121	39	102	33	124	321	282	335	85	139
M01896:14:000000000-A7ERE:1:1117:9172:16535	97	52	67	84	586	1	1	1	1	1	101	69	86	52	588	247	236	1048	123	193
M01896:2:000000000-A69JN:1:1117:17278:2546	11	10	14	12	40	1	1	1	1	1	11	14	12	10	40	33	45	80	21	35
M00595:54:000000000-A7CT0:1:1105:12413:15187	193	76	86	165	248	1	1	1	1	1	193	86	165	76	248	551	482	607	249	238
M01896:14:000000000-A7ERE:1:1105:13034:14024	150	83	85	139	178	1	1	1	1	1	150	85	139	83	178	375	382	378	187	227
	26	26	15	16	55	2	1	1	2	2	22	15	14	26	55	96	133	220	103	73
M01896:2:000000000-A69JN:1:1116:24996:17776	276	89	151	228	540	1	1	1	1	1	276	149	228	89	540	538	466	931	210	355
M00595:42:000000000-A5J1T:1:2108:24071:12989	10	11	6	13	8	1	1	1	1	1	10	6	13	11	8	32	38	29	33	15
M01896:2:000000000-A69JN:1:2109:23909:21855	188	105	100	112	165	1	1	1	1	1	190	100	112	105	165	455	333	427	223	216
M00595:42:000000000-A5J1T:1:1110:21963:15039	23	26	66	25	414	2	3	1	1	1	23	66	25	26	414	81	79	646	118	104
M01896:2:000000000-A69JN:1:2108:10660:21238	98	49	41	102	144	1	1	1	1	1	98	41	102	49	144	290	319	366	139	157
M00595:54:000000000-A7CT0:1:1114:14316:3012	119	68	87	99	159	1	1	1	1	1	119	87	99	68	159	313	242	331	153	211
M01896:2:000000000-A69JN:1:2109:4217:19442	239	66	78	99	242	1	1	1	1	1	237	78	99	66	242	517	274	504	165	196
M01896:2:000000000-A69JN:1:1109:23487:14023	214	96	86	135	394	1	1	1	1	1	212	88	137	96	394	456	309	716	188	224
M00595:54:000000000-A7CT0:1:1118:10357:17710	49	27	35	47	53	1	1	1	1	1	49	35	47	27	53	123	123	128	65	80
M00595:54:000000000-A7CT0:1:2103:21116:2958	240	25	81	170	275	1	1	1	1	1	240	81	170	25	275	449	341	501	54	159
M01896:14:000000000-A7ERE:1:1103:25376:6175	385	120	217	377	375	1	1	1	1	1	385	217	377	120	375	768	793	753	284	470
M00595:42:000000000-A5J1T:1:2118:15286:19005	7	18	9	9	20	1	1	1	1	1	7	9	9	18	20	21	42	40	42	15
M01896:15:000000000-A7EN9:1:2111:26166:10514	200	95	147	167	324	1	1	1	1	1	200	147	167	95	324	427	377	620	205	328
M01896:15:000000000-A7EN9:1:1104:4826:10019	284	131	158	282	327	1	1	1	1	1	282	158	282	131	327	556	562	605	256	346
M01896:14:000000000-A7ERE:1:2110:12975:10001	133	34	47	192	90	1	1	1	1	1	135	47	192	34	90	347	489	277	107	166
M01896:14:000000000-A7ERE:1:1107:25121:20449	5	0	0	0	0	0	0	0	0	1	2	0	0	0	0	16	3	2	2	5
M01896:14:000000000-A7ERE:1:2117:13444:20401	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
M01896:14:000000000-A7ERE:1:1101:10088:20463	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
M01896:14:000000000-A7ERE:1:1112:3844:19709	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	1	0	0
M01896:15:000000000-A7EN9:1:1112:6392:3634	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
M01896:14:000000000-A7ERE:1:1114:22320:11276	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0
M01896:15:000000000-A7EN9:1:2101:17864:10189	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0
M01896:15:000000000-A7EN9:1:2115:9338:5558	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
M01896:14:000000000-A7ERE:1:1107:8289:16108	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0
M00595:42:000000000-A5J1T:1:2102:8288:19048	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0
M01896:15:000000000-A7EN9:1:1114:24615:14175	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	2	0
M00595:42:000000000-A5J1T:1:2116:18711:6185	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	2	0
M00595:54:000000000-A7CT0:1:2116:17491:18990	0	0	3	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	3
M00595:54:000000000-A7CT0:1:1117:10209:13850	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M00595:54:000000000-A7CT0:1:2116:8469:12215	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	1	1	1	0	4
M00595:54:000000000-A7CT0:1:2117:15608:6529	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M00595:54:000000000-A7CT0:1:1104:18894:9578	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:2:000000000-A69JN:1:2110:28406:17055	0	0	0	8	12	0	1	0	1	0	0	0	8	0	12	7	27	26	9	5
M01896:14:000000000-A7ERE:1:1109:10046:24264	0	0	0	3	0	0	0	0	1	0	0	0	3	0	0	0	5	0	0	0
M01896:14:000000000-A7ERE:1:1111:15897:11385	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
M01896:15:000000000-A7EN9:1:2105:24258:17757	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1
M01896:15:000000000-A7EN9:1:1113:13292:13209	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0
M01896:14:000000000-A7ERE:1:1114:7191:6112	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0
M01896:14:000000000-A7ERE:1:1118:19677:11650	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0
M01896:2:000000000-A69JN:1:1118:25611:17371	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M01896:2:000000000-A69JN:1:1102:20206:14491	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
M01896:2:000000000-A69JN:1:2102:13048:19235	0	0	0	0	13	0	1	0	0	0	0	0	0	0	18	2	2	87	0	20
M01896:2:000000000-A69JN:1:1114:22284:19310	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0
M00595:54:000000000-A7CT0:1:1110:17841:14378	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	31	14	310	4	5
M01896:2:000000000-A69JN:1:1107:10277:20539	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	6	3	37	7	10
M01896:2:000000000-A69JN:1:2105:16065:18307	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0
M01896:2:000000000-A69JN:1:2116:24325:10918	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	3	0	0
M01896:14:000000000-A7ERE:1:2103:13116:22552	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0
M01896:2:000000000-A69JN:1:2105:25239:7436	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0
