#OTU ID	PDD2.MID47-47.P2.apr13_ncdenovo	S1DD2.MID103-103.P2.nov13_ncdenovo	S1DD2.MID110-110.P4.jan14_ncdenovo	S1DD2.MID109-109.P2.jan14_ncdenovo	S1DD2.MID97-97.P2.dec13_ncdenovo	S1DD2.MID103-103.P2.nov13_otuclust	S1DD2.MID109-109.P2.jan14_otuclust	S1DD2.MID97-97.P2.dec13_otuclust	S1DD2.MID110-110.P4.jan14_otuclust	PDD2.MID47-47.P2.apr13_otuclust	S1DD2.MID110-110.P4.jan14_ncref	S1DD2.MID103-103.P2.nov13_ncref	S1DD2.MID97-97.P2.dec13_ncref	PDD2.MID47-47.P2.apr13_ncref	S1DD2.MID109-109.P2.jan14_ncref	S1DD2.MID109-109.P2.jan14	S1DD2.MID110-110.P4.jan14	PDD2.MID47-47.P2.apr13	S1DD2.MID97-97.P2.dec13	S1DD2.MID103-103.P2.nov13
M00595:54:000000000-A7CT0:1:1104:18924:13974	199	124	30	26	38	1	1	1	1	1	28	122	38	199	26	130	98	484	97	311
M00595:42:000000000-A5J1T:1:2107:27584:12198	181	69	4	13	5	1	1	1	1	1	4	69	5	179	13	54	38	494	38	238
M00595:42:000000000-A5J1T:1:1104:23026:15266	335	392	249	250	104	1	1	1	1	1	247	392	104	332	250	716	610	699	330	778
M00595:54:000000000-A7CT0:1:2107:15783:13545	12	0	2	0	2	0	0	1	1	0	5	0	5	12	0	13	16	36	14	23
M00595:42:000000000-A5J1T:1:1111:13547:9195	188	52	49	35	35	1	1	1	1	1	49	54	35	188	35	84	118	399	99	116
M00595:54:000000000-A7CT0:1:1101:18305:4114	98	302	243	189	263	1	1	1	1	1	243	302	263	98	189	402	516	195	537	565
M00595:54:000000000-A7CT0:1:1110:18804:15128	3	6	8	4	3	1	1	1	1	1	8	6	0	3	4	28	22	11	16	14
M00595:42:000000000-A5J1T:1:2104:29039:12979	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	4	8	2	4
M00595:42:000000000-A5J1T:1:2103:12609:12256	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0
M00595:42:000000000-A5J1T:1:1103:24503:18151	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00595:42:000000000-A5J1T:1:2108:19655:7494	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
M00595:42:000000000-A5J1T:1:1119:26698:12847	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	1	1
M00595:42:000000000-A5J1T:1:1117:8169:15649	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	0	0
M00595:42:000000000-A5J1T:1:2103:19752:5866	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	2
M01896:15:000000000-A7EN9:1:1115:3727:9324	4	0	0	2	0	0	0	0	0	0	0	0	0	4	2	3	7	18	1	5
M00595:42:000000000-A5J1T:1:1104:24422:6958	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	1	2
M00595:42:000000000-A5J1T:1:2117:23956:9779	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	12	1	3
M00595:42:000000000-A5J1T:1:1107:10174:11946	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1
M00595:42:000000000-A5J1T:1:1119:19087:16982	0	2	0	0	0	0	0	0	0	0	0	0	0	13	0	13	18	51	3	25
M00595:54:000000000-A7CT0:1:2103:16930:6953	0	2	2	0	2	0	0	0	0	0	0	2	2	0	0	6	8	7	3	7
M01896:2:000000000-A69JN:1:2114:14172:22378	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	2
M01896:2:000000000-A69JN:1:1117:3744:11340	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	4	2	1	8
M01896:2:000000000-A69JN:1:1116:14319:4641	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:2:000000000-A69JN:1:1111:11045:7365	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	3
M01896:2:000000000-A69JN:1:1115:8001:6381	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	0	2
M01896:2:000000000-A69JN:1:2119:14798:24247	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2
M01896:14:000000000-A7ERE:1:1117:9455:6640	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	6	11	19	6	12
M01896:2:000000000-A69JN:1:2116:10577:21616	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M00595:42:000000000-A5J1T:1:1111:7757:8456	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3
M01896:2:000000000-A69JN:1:2106:16557:20696	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2
M01896:2:000000000-A69JN:1:1111:12373:6221	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
M01896:2:000000000-A69JN:1:1106:26151:15665	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:15:000000000-A7EN9:1:1114:11979:10895	0	2	2	0	0	1	0	0	1	0	2	2	0	0	0	1	4	10	0	5
M01896:15:000000000-A7EN9:1:1108:25766:15660	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
M00595:42:000000000-A5J1T:1:2112:7943:15915	0	0	21	3	0	0	0	0	0	0	0	0	0	0	0	3	3	7	1	2
M00595:42:000000000-A5J1T:1:2112:15801:23963	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	3	9	2	0	0
M01896:15:000000000-A7EN9:1:1115:9357:7450	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	34	2	0	4
M01896:14:000000000-A7ERE:1:1114:3238:11424	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	0	1
M01896:14:000000000-A7ERE:1:1106:9379:21911	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	1	0
M01896:15:000000000-A7EN9:1:2102:12193:17530	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	4
M00595:42:000000000-A5J1T:1:1101:17120:17501	0	0	4	0	0	0	0	0	0	0	0	6	2	16	0	12	17	61	6	26
M00595:42:000000000-A5J1T:1:2117:24734:13976	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	3	23	2	2
M00595:42:000000000-A5J1T:1:1102:17985:7513	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	4	12	27	8	5
M01896:14:000000000-A7ERE:1:2119:21886:10183	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	6	10	1	2
M01896:2:000000000-A69JN:1:1104:28458:18286	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	8	30	1	6
M01896:2:000000000-A69JN:1:2119:15300:12783	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	2	1	1	4
M01896:14:000000000-A7ERE:1:2104:3680:10205	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	5	8	1	5
M00595:54:000000000-A7CT0:1:1119:17416:2902	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M00595:54:000000000-A7CT0:1:1109:27225:10799	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0
M00595:54:000000000-A7CT0:1:1108:12308:6744	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0
M00595:54:000000000-A7CT0:1:1105:14079:19779	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	3	1	2	2	2
M00595:54:000000000-A7CT0:1:1112:20841:20904	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M00595:54:000000000-A7CT0:1:1106:12016:21848	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0
M00595:54:000000000-A7CT0:1:1107:23813:11031	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	10	34	7	10
M01896:2:000000000-A69JN:1:2112:26064:6085	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:2:000000000-A69JN:1:2103:13073:10388	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1
M01896:14:000000000-A7ERE:1:2105:24830:20309	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0
M01896:14:000000000-A7ERE:1:2107:8445:14742	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	2	0	0
M01896:2:000000000-A69JN:1:2102:21112:9787	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	2	2	0	6
M01896:2:000000000-A69JN:1:1117:8956:20352	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	6	11	2	8
M00595:42:000000000-A5J1T:1:1114:17468:8720	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	9	7	1	1
M01896:15:000000000-A7EN9:1:1112:26784:18711	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	11	20	2	4
M00595:42:000000000-A5J1T:1:2104:11137:23037	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	4	2	0
M01896:14:000000000-A7ERE:1:1108:19523:3962	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
M01896:15:000000000-A7EN9:1:2106:22656:7206	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0
M01896:15:000000000-A7EN9:1:2110:24392:3310	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
M01896:2:000000000-A69JN:1:2114:13498:23198	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	6	15	33	12	9
M01896:2:000000000-A69JN:1:1115:19879:6367	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	8	5	4	4
M01896:15:000000000-A7EN9:1:2105:15554:11897	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	4	7	1	4
M01896:15:000000000-A7EN9:1:1115:22540:9466	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0
M01896:2:000000000-A69JN:1:1115:15104:8388	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1
M01896:2:000000000-A69JN:1:2112:8012:8250	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	2	1	6
M00595:42:000000000-A5J1T:1:2106:23128:20725	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	4	7	0	7
M01896:2:000000000-A69JN:1:2107:14978:5970	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2
M01896:2:000000000-A69JN:1:1115:16794:4874	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	1	0	4
M01896:2:000000000-A69JN:1:1115:5217:14438	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	14	0	9
M01896:2:000000000-A69JN:1:1117:12361:19782	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	4
M01896:14:000000000-A7ERE:1:1104:4992:6827	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	1	7	28	4	9
M00595:42:000000000-A5J1T:1:1111:22582:16964	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	6	17	8	11
M01896:2:000000000-A69JN:1:2112:23244:5705	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	2
M01896:15:000000000-A7EN9:1:2116:18475:20813	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	8	12	3	4
M01896:2:000000000-A69JN:1:2111:7567:8861	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3
M01896:2:000000000-A69JN:1:2110:28673:16641	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:2:000000000-A69JN:1:2102:15950:22792	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5
M01896:2:000000000-A69JN:1:2118:23813:6617	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:2:000000000-A69JN:1:2106:12079:21421	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	4	7	0	4
M01896:2:000000000-A69JN:1:1108:3686:8727	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2
M01896:2:000000000-A69JN:1:2103:20142:5923	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	5	5	1	5
M01896:2:000000000-A69JN:1:1114:11094:20907	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M00595:42:000000000-A5J1T:1:1104:7421:17126	0	0	0	0	0	0	0	0	0	0	0	4	0	17	5	12	15	43	10	10
M00595:42:000000000-A5J1T:1:1104:9081:13381	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	2	10	1	7
M00595:42:000000000-A5J1T:1:1111:16412:18783	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	6	12	0	4
M01896:2:000000000-A69JN:1:2107:16965:17819	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	7	22	2	9
M00595:54:000000000-A7CT0:1:1113:20210:22530	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0
M00595:54:000000000-A7CT0:1:1106:25342:7302	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	5	0
M00595:54:000000000-A7CT0:1:2112:9047:12431	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0
M00595:54:000000000-A7CT0:1:1103:6338:20091	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
M00595:54:000000000-A7CT0:1:2117:16746:5483	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	1	3	1
M00595:54:000000000-A7CT0:1:1112:13430:10929	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	11	4	10	6	4
M00595:54:000000000-A7CT0:1:1111:14400:8751	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	3	0
M00595:54:000000000-A7CT0:1:1106:10529:6391	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0
M00595:54:000000000-A7CT0:1:1103:24636:16601	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	4	2	0
M00595:54:000000000-A7CT0:1:1113:6228:13828	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
M00595:54:000000000-A7CT0:1:1101:17326:8859	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0
M01896:15:000000000-A7EN9:1:1102:13664:10852	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	11	7	28	4	12
M00595:42:000000000-A5J1T:1:2115:18643:15057	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	5	14	32	5	9
M00595:42:000000000-A5J1T:1:1113:8372:7919	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	7	37	6	11
M00595:42:000000000-A5J1T:1:2106:25092:23081	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	3	19	0	3
M00595:42:000000000-A5J1T:1:1119:22976:18454	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	4	31	5	6
M00595:42:000000000-A5J1T:1:2103:18434:14808	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	3	14	1	4
M00595:42:000000000-A5J1T:1:2118:25182:14273	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	9	20	2	7
M00595:42:000000000-A5J1T:1:2104:18243:20922	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	5	24	2	4
M00595:42:000000000-A5J1T:1:2118:16711:19943	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	11	19	7	5
M01896:2:000000000-A69JN:1:2106:4159:17733	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	10	39	6	10
