#OTU ID	PDD2.MID47-47.P2.apr13_ncdenovo	S1DD2.MID103-103.P2.nov13_ncdenovo	S1DD2.MID110-110.P4.jan14_ncdenovo	S1DD2.MID109-109.P2.jan14_ncdenovo	S1DD2.MID97-97.P2.dec13_ncdenovo	S1DD2.MID103-103.P2.nov13_otuclust	S1DD2.MID109-109.P2.jan14_otuclust	S1DD2.MID97-97.P2.dec13_otuclust	S1DD2.MID110-110.P4.jan14_otuclust	PDD2.MID47-47.P2.apr13_otuclust	S1DD2.MID110-110.P4.jan14_ncref	S1DD2.MID103-103.P2.nov13_ncref	S1DD2.MID97-97.P2.dec13_ncref	PDD2.MID47-47.P2.apr13_ncref	S1DD2.MID109-109.P2.jan14_ncref	S1DD2.MID109-109.P2.jan14	S1DD2.MID110-110.P4.jan14	PDD2.MID47-47.P2.apr13	S1DD2.MID97-97.P2.dec13	S1DD2.MID103-103.P2.nov13
M01896:14:000000000-A7ERE:1:1106:13350:9617	3211	1763	1809	1999	1381	1	1	1	1	1	1805	1763	1379	3197	1999	3093	2808	4494	2389	2597
M01896:2:000000000-A69JN:1:2106:6750:17275	1934	522	563	454	408	1	1	1	1	1	563	531	413	1941	454	879	1022	2866	774	876
M00595:42:000000000-A5J1T:1:2116:15237:12084	2690	1096	677	686	520	1	1	1	1	1	680	1101	520	2692	686	1359	1388	4031	1144	1858
M01896:14:000000000-A7ERE:1:2117:14496:24430	1842	997	972	922	1114	1	1	1	1	1	972	997	1114	1844	922	1689	1746	2779	2002	1581
M01896:2:000000000-A69JN:1:2115:14667:8607	190	90	29	50	21	1	1	1	1	1	29	88	21	190	50	190	176	457	104	277
M01896:14:000000000-A7ERE:1:1113:4092:11043	1735	852	733	1643	786	1	1	1	1	1	733	852	786	1735	1643	2692	1319	2518	1394	1379
M00595:42:000000000-A5J1T:1:1116:14382:8111	394	140	71	56	58	1	1	1	1	1	71	138	58	392	56	252	271	890	191	393
M00595:42:000000000-A5J1T:1:2109:14970:23966	1518	752	490	418	500	1	1	1	1	1	490	750	500	1518	420	867	968	2364	990	1202
M00595:42:000000000-A5J1T:1:2103:8503:10001	519	185	179	385	198	1	1	1	1	1	179	185	198	519	385	895	452	938	474	413
M01896:2:000000000-A69JN:1:1101:21868:10786	40	27	12	14	21	1	1	1	1	1	12	27	21	40	14	39	28	90	57	55
M01896:15:000000000-A7EN9:1:2101:16163:10967	2155	1149	675	709	663	1	1	1	1	1	675	1150	663	2162	709	1590	1574	3661	1523	2056
M01896:15:000000000-A7EN9:1:2109:18176:2424	34	24	35	101	32	1	1	1	1	1	37	26	32	34	101	195	72	77	86	58
M01896:14:000000000-A7ERE:1:1103:13337:10005	1144	495	318	392	287	1	1	1	1	1	320	495	287	1144	390	795	708	1883	659	917
M00595:42:000000000-A5J1T:1:2105:17494:3196	1179	1625	784	718	487	2	1	1	1	1	784	1625	487	1181	718	1535	1760	2086	1169	2661
M01896:2:000000000-A69JN:1:1107:12949:22053	1651	814	718	1163	841	1	1	1	1	1	718	814	841	1651	1163	1999	1311	2363	1520	1305
M00595:42:000000000-A5J1T:1:1119:16330:23966	1167	334	297	245	165	1	1	1	1	1	297	334	165	1169	245	585	660	1891	418	667
M00595:42:000000000-A5J1T:1:1112:23343:11856	1484	627	381	339	383	1	1	1	1	1	381	627	383	1490	337	790	861	2376	856	1107
M00595:42:000000000-A5J1T:1:2117:21474:11486	1210	1644	718	692	529	1	1	1	1	1	715	1650	532	1214	692	1492	1503	2045	1309	2674
M00595:54:000000000-A7CT0:1:2116:4799:5713	27	56	61	165	116	1	1	1	1	1	61	56	116	27	165	375	160	62	255	107
M01896:15:000000000-A7EN9:1:1114:13795:22573	32	21	27	42	14	1	1	1	1	1	27	21	14	32	42	96	52	63	51	34
M00595:42:000000000-A5J1T:1:1102:18660:12665	1031	496	312	278	250	1	1	1	1	1	312	496	250	1037	278	662	728	1679	603	937
M01896:2:000000000-A69JN:1:2101:20082:17056	27	44	61	114	78	1	1	1	1	1	61	44	82	27	114	257	133	74	179	94
M01896:14:000000000-A7ERE:1:2108:8853:22075	1226	631	526	483	430	1	1	1	1	1	526	631	430	1226	483	1001	1031	1907	887	1043
M00595:42:000000000-A5J1T:1:2107:12392:12487	1271	445	400	336	238	1	1	1	1	1	400	447	238	1271	336	839	946	2250	657	863
M00595:42:000000000-A5J1T:1:2108:28567:12243	1281	732	638	559	529	1	1	1	1	1	638	734	529	1281	559	1100	1183	1901	1018	1144
M00595:42:000000000-A5J1T:1:2118:26937:7215	1230	640	364	367	375	1	1	1	1	1	364	638	385	1244	367	785	811	2041	804	1120
M00595:42:000000000-A5J1T:1:2103:7647:15998	621	314	152	101	151	1	1	1	1	1	152	314	151	621	101	405	493	1409	441	822
M01896:14:000000000-A7ERE:1:2105:10223:11783	21	16	9	12	19	1	1	1	1	1	9	16	19	21	12	50	34	39	56	30
M00595:42:000000000-A5J1T:1:2116:8416:5908	1063	572	350	224	244	1	1	1	1	1	350	572	244	1063	224	499	720	1710	546	984
M00595:54:000000000-A7CT0:1:2106:21047:6992	916	491	232	280	252	1	1	1	1	1	232	491	252	916	280	604	576	1503	589	878
M00595:42:000000000-A5J1T:1:2110:8600:6912	836	253	157	157	106	1	1	1	1	1	157	251	106	840	157	424	414	1535	288	537
M00595:54:000000000-A7CT0:1:2111:14863:5535	740	362	242	225	217	1	1	1	1	1	242	362	217	744	225	539	523	1328	574	722
M01896:14:000000000-A7ERE:1:1107:10337:14813	747	401	162	142	224	1	1	1	1	1	166	401	224	750	142	390	442	1378	524	780
M01896:2:000000000-A69JN:1:1104:22275:4570	1295	696	590	607	369	1	1	1	1	1	590	709	373	1319	613	1348	1292	2254	893	1233
M01896:2:000000000-A69JN:1:2102:7724:14045	54	26	2	2	0	1	1	0	1	1	0	26	0	57	2	36	28	223	26	133
M00595:54:000000000-A7CT0:1:1104:18924:13974	199	124	30	26	38	1	1	1	1	1	30	122	38	199	26	133	102	489	97	317
M00595:42:000000000-A5J1T:1:2107:27584:12198	181	69	4	13	5	1	1	1	1	1	4	69	5	179	13	55	41	507	39	245
M00595:54:000000000-A7CT0:1:1107:11133:18782	942	695	325	223	217	1	1	1	1	1	325	695	217	938	226	561	750	1695	576	1196
M00595:42:000000000-A5J1T:1:1119:23021:11990	11	7	8	19	4	1	1	1	1	1	8	7	4	11	19	43	30	22	14	24
M00595:54:000000000-A7CT0:1:2107:15783:13545	12	0	2	0	2	1	0	1	1	0	5	2	5	12	0	13	17	37	14	25
M00595:42:000000000-A5J1T:1:1104:23026:15266	335	392	249	250	104	1	1	1	1	1	247	392	104	332	250	718	616	699	331	781
M00595:42:000000000-A5J1T:1:1111:13547:9195	188	52	49	35	35	1	1	1	1	1	49	54	35	188	35	86	118	402	100	117
M00595:54:000000000-A7CT0:1:1101:18305:4114	98	302	243	189	263	1	1	1	1	1	243	302	263	98	189	404	516	195	537	566
M01896:14:000000000-A7ERE:1:1118:19297:9769	52	49	43	155	34	1	1	1	1	1	43	49	34	52	155	310	104	111	74	87
M00595:54:000000000-A7CT0:1:1110:18804:15128	3	6	8	4	3	1	1	1	1	1	8	6	0	3	4	28	22	11	16	14
M00595:42:000000000-A5J1T:1:2104:29039:12979	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	4	8	2	4
M00595:42:000000000-A5J1T:1:1111:22582:16964	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	6	24	8	11
M00595:42:000000000-A5J1T:1:1103:24503:18151	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
M00595:42:000000000-A5J1T:1:2108:19655:7494	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
M00595:42:000000000-A5J1T:1:1119:26698:12847	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	1	1
M00595:42:000000000-A5J1T:1:1117:8169:15649	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	5	0	0
M00595:42:000000000-A5J1T:1:2103:19752:5866	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	2
M01896:15:000000000-A7EN9:1:1115:3727:9324	4	0	0	2	0	0	0	0	0	0	0	0	0	4	2	3	6	18	1	5
M00595:42:000000000-A5J1T:1:1104:24422:6958	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	1	2
M00595:42:000000000-A5J1T:1:1107:10174:11946	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	1
M00595:42:000000000-A5J1T:1:1119:19087:16982	0	2	0	0	0	0	0	0	0	0	0	0	0	13	0	13	19	54	3	26
M01896:2:000000000-A69JN:1:2114:14172:22378	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	2
M01896:2:000000000-A69JN:1:1117:3744:11340	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	5	3	12	3	15
M01896:2:000000000-A69JN:1:1116:14319:4641	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:2:000000000-A69JN:1:1111:11045:7365	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	3
M01896:2:000000000-A69JN:1:2119:14798:24247	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2
M00595:42:000000000-A5J1T:1:1111:7757:8456	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3
M01896:2:000000000-A69JN:1:2106:16557:20696	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3
M01896:2:000000000-A69JN:1:1111:12373:6221	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
M01896:2:000000000-A69JN:1:1106:26151:15665	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M01896:15:000000000-A7EN9:1:1114:11979:10895	0	2	2	0	0	1	0	0	1	0	2	2	0	0	0	3	6	11	0	9
M01896:15:000000000-A7EN9:1:1108:25766:15660	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1
M00595:42:000000000-A5J1T:1:2112:7943:15915	0	0	21	3	0	0	0	0	0	0	0	0	0	0	0	3	3	7	1	3
M00595:42:000000000-A5J1T:1:2112:15801:23963	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	2	7	5	0	0
M01896:15:000000000-A7EN9:1:1115:9357:7450	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	37	2	0	4
M00595:42:000000000-A5J1T:1:1102:15177:19395	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	5	5	4	2	2
M01896:14:000000000-A7ERE:1:1114:3238:11424	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	0	1
M00595:42:000000000-A5J1T:1:2119:27108:15331	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	14	6	0
M01896:14:000000000-A7ERE:1:1106:9379:21911	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	1	0
M01896:15:000000000-A7EN9:1:2102:12193:17530	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	4
M00595:42:000000000-A5J1T:1:1101:17120:17501	0	0	4	0	0	0	0	0	0	0	0	6	2	16	0	12	18	65	6	26
M00595:42:000000000-A5J1T:1:2117:24734:13976	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	5	25	2	3
M00595:42:000000000-A5J1T:1:1119:15226:13258	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	8	15	26	8	5
M01896:14:000000000-A7ERE:1:2119:21886:10183	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	5	11	1	2
M00595:42:000000000-A5J1T:1:1110:23199:21208	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	13	8	30	1	6
M01896:2:000000000-A69JN:1:2119:15300:12783	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	2	1	1	4
M01896:14:000000000-A7ERE:1:2104:3680:10205	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	7	19	25	2	7
M00595:54:000000000-A7CT0:1:1119:17416:2902	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M00595:54:000000000-A7CT0:1:1109:27225:10799	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0
M00595:54:000000000-A7CT0:1:1108:12308:6744	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0
M00595:54:000000000-A7CT0:1:1105:14079:19779	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	6	1	9	2	3
M00595:54:000000000-A7CT0:1:1112:20841:20904	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M00595:54:000000000-A7CT0:1:1106:12016:21848	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0
M00595:54:000000000-A7CT0:1:1107:23813:11031	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	11	35	7	10
M01896:2:000000000-A69JN:1:2103:13073:10388	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	2
M01896:14:000000000-A7ERE:1:2107:8445:14742	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	2	0	0
M01896:2:000000000-A69JN:1:2102:21112:9787	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	1	2	5	0	6
M01896:2:000000000-A69JN:1:1117:8956:20352	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	6	11	2	8
M01896:15:000000000-A7EN9:1:1112:26784:18711	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	11	20	2	5
M00595:42:000000000-A5J1T:1:1114:17468:8720	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	10	8	1	1
M00595:42:000000000-A5J1T:1:2104:11137:23037	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	4	2	0
M01896:14:000000000-A7ERE:1:1108:19523:3962	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
M00595:42:000000000-A5J1T:1:2115:18643:15057	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0	5	16	33	5	9
M01896:15:000000000-A7EN9:1:2110:24392:3310	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
M01896:2:000000000-A69JN:1:2114:13498:23198	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	8	16	37	14	9
M01896:2:000000000-A69JN:1:1115:19879:6367	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	8	5	4	4
M01896:15:000000000-A7EN9:1:2105:15554:11897	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	4	7	1	4
M01896:2:000000000-A69JN:1:1115:15104:8388	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1
M01896:2:000000000-A69JN:1:2112:8012:8250	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	2	2	6
M00595:42:000000000-A5J1T:1:2106:23128:20725	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	4	7	0	7
M01896:2:000000000-A69JN:1:2107:14978:5970	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2
M01896:2:000000000-A69JN:1:1115:16794:4874	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0	2	0	4
M01896:2:000000000-A69JN:1:1115:5217:14438	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	13	0	7
M01896:2:000000000-A69JN:1:1117:12361:19782	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	4
M01896:14:000000000-A7ERE:1:1104:4992:6827	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	1	7	29	4	9
