#OTU ID	S1HB3xDD2.MID109-109.P4.jan14_ncdenovo	S1HB3xDD2.MID110-110.P2.jan14_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_ncdenovo	S1HB3xDD2.MID104-104.P2.nov13_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_otuclust	S1HB3xDD2.MID104-104.P2.nov13_otuclust	S1HB3xDD2.MID110-110.P2.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13_ncref	S1HB3xDD2.MID98-98.P2.dec13_ncref	S1HB3xDD2.MID110-110.P2.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13	S1HB3xDD2.MID109-109.P4.jan14	S1HB3xDD2.MID98-98.P2.dec13	S1HB3xDD2.MID110-110.P2.jan14	PDD2xHB3.MID47-48.P2.apr13_ncdenovo	PDD2xHB3.MID47-48.P2.apr13_otuclust	PDD2xHB3.MID47-48.P2.apr13_ncref	PDD2xHB3.MID47-48.P2.apr13
M01896:14:000000000-A7ERE:1:2109:26315:18455	1614	944	830	1100	1	1	1	1	1614	1100	830	944	1690	2418	1421	1501	1399	1	1399	2108
M00595:42:000000000-A5J1T:1:2112:19464:17422	592	312	372	526	1	1	1	1	592	526	372	312	908	1275	694	579	835	1	835	1386
M01896:2:000000000-A69JN:1:1116:27833:12295	710	452	742	700	1	1	1	1	710	700	742	452	1003	1174	1102	685	763	1	763	1091
M00595:42:000000000-A5J1T:1:1101:4532:12230	700	378	689	546	1	1	1	1	700	546	689	378	930	1453	1137	731	796	1	796	1323
M01896:15:000000000-A7EN9:1:1115:28876:13171	425	506	675	988	1	1	1	1	425	988	675	506	1519	860	1203	933	779	1	779	1265
M01896:2:000000000-A69JN:1:2119:25716:10506	201	64	21	75	0	0	0	0	201	75	21	64	128	315	45	113	117	0	117	170
M01896:2:000000000-A69JN:1:2118:18596:9172	261	112	35	119	0	0	0	0	261	119	35	112	122	265	35	113	52	0	52	54
M01896:15:000000000-A7EN9:1:2104:24743:9094	101	50	15	30	0	0	0	0	101	30	15	50	32	104	15	54	69	0	69	77
M01896:2:000000000-A69JN:1:2117:10035:7951	241	60	27	53	0	0	0	0	241	53	27	60	55	243	27	60	93	0	93	94
M01896:2:000000000-A69JN:1:2103:5035:6461	197	181	111	247	1	1	1	1	197	247	111	181	517	482	239	433	537	1	537	996
M01896:14:000000000-A7ERE:1:1112:20535:7984	406	509	371	745	1	1	1	1	406	745	371	509	1234	918	665	928	849	1	849	1412
M01896:14:000000000-A7ERE:1:1103:9224:24628	88	20	10	42	0	0	0	0	88	42	10	20	44	89	11	20	19	0	19	20
M01896:14:000000000-A7ERE:1:2112:19502:16076	190	129	54	259	1	1	1	1	190	259	54	129	520	538	157	337	156	1	156	350
M00595:42:000000000-A5J1T:1:2102:22099:5968	113	142	106	274	1	1	1	1	113	274	106	142	460	250	243	305	268	1	268	455
M01896:2:000000000-A69JN:1:1106:8053:15153	80	27	8	21	0	0	0	0	80	21	8	27	21	80	9	28	50	0	50	51
M00595:42:000000000-A5J1T:1:2119:5443:7519	518	104	98	131	0	0	0	0	518	131	98	104	204	792	157	167	70	0	70	125
M01896:15:000000000-A7EN9:1:1104:19193:7159	317	217	203	505	1	1	1	1	317	505	203	217	972	807	510	506	403	1	403	800
M01896:14:000000000-A7ERE:1:1101:28628:8590	120	111	72	197	1	1	1	1	120	197	72	111	384	352	185	286	263	0	263	503
M01896:15:000000000-A7EN9:1:1109:14027:18651	331	74	59	49	0	0	0	0	331	49	59	74	51	351	62	87	79	0	79	82
M00595:42:000000000-A5J1T:1:1111:23382:14526	312	298	236	373	1	1	1	1	312	373	236	298	790	817	515	641	489	1	489	913
M00595:42:000000000-A5J1T:1:1110:15599:11188	111	111	84	194	1	1	1	1	111	194	84	111	410	318	221	276	404	1	404	729
M00595:54:000000000-A7CT0:1:1103:23391:21826	105	113	82	203	1	1	1	1	105	203	82	113	413	318	190	267	447	1	447	804
M01896:15:000000000-A7EN9:1:1112:13650:24235	480	374	302	547	1	1	1	1	480	547	302	374	973	1005	662	771	439	1	439	821
M01896:14:000000000-A7ERE:1:2106:15088:19378	62	27	5	24	0	0	0	0	62	24	5	27	24	62	5	27	42	0	42	42
M01896:15:000000000-A7EN9:1:1113:14016:24590	420	340	203	582	1	1	1	1	420	582	203	340	1025	904	437	712	1155	1	1155	1867
