#OTU ID	S1HB3xDD2.MID109-109.P4.jan14_ncdenovo	S1HB3xDD2.MID110-110.P2.jan14_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_ncdenovo	S1HB3xDD2.MID104-104.P2.nov13_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_otuclust	S1HB3xDD2.MID104-104.P2.nov13_otuclust	S1HB3xDD2.MID110-110.P2.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13_ncref	S1HB3xDD2.MID98-98.P2.dec13_ncref	S1HB3xDD2.MID110-110.P2.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13	S1HB3xDD2.MID109-109.P4.jan14	S1HB3xDD2.MID98-98.P2.dec13	S1HB3xDD2.MID110-110.P2.jan14	PDD2xHB3.MID47-48.P2.apr13_ncdenovo	PDD2xHB3.MID47-48.P2.apr13_otuclust	PDD2xHB3.MID47-48.P2.apr13_ncref	PDD2xHB3.MID47-48.P2.apr13
M00595:42:000000000-A5J1T:1:2112:19464:17422	835	372	401	581	1	1	1	1	835	581	401	372	1002	1601	760	658	930	1	930	1541
M01896:14:000000000-A7ERE:1:2109:26315:18455	1633	962	830	1126	1	1	1	1	1633	1124	830	962	1789	2571	1534	1594	1413	1	1413	2214
M00595:42:000000000-A5J1T:1:1101:4532:12230	1035	452	750	597	1	1	1	1	1035	597	750	452	1029	1904	1284	853	880	1	880	1463
M01896:2:000000000-A69JN:1:2117:11004:21036	667	291	391	493	0	1	1	1	667	493	391	291	688	956	591	438	402	0	402	566
M00595:42:000000000-A5J1T:1:1116:17374:4600	198	157	120	316	1	1	1	1	198	316	120	157	626	517	297	390	408	1	408	806
M01896:14:000000000-A7ERE:1:2112:19502:16076	192	129	54	263	1	1	1	1	192	263	54	129	556	579	163	356	156	1	156	366
M00595:42:000000000-A5J1T:1:1102:27999:19813	170	170	110	345	1	1	1	1	170	345	110	170	699	469	308	407	456	1	456	894
M01896:2:000000000-A69JN:1:2103:5035:6461	264	217	118	277	1	1	1	1	264	277	118	217	591	625	285	545	583	1	583	1125
M01896:14:000000000-A7ERE:1:1112:20535:7984	614	610	394	830	1	1	1	1	614	830	394	610	1404	1266	750	1111	925	1	925	1574
M00595:54:000000000-A7CT0:1:1103:15693:9915	268	81	184	145	1	1	1	1	268	145	184	81	265	527	375	172	134	1	134	281
M00595:42:000000000-A5J1T:1:1111:20695:14539	520	414	248	651	1	1	1	1	520	651	246	414	1298	1253	641	869	1124	1	1124	2045
M01896:15:000000000-A7EN9:1:1115:28876:13171	828	654	739	1169	1	1	1	1	828	1169	739	654	1951	1648	1443	1275	843	1	843	1482
M01896:15:000000000-A7EN9:1:1104:19193:7159	319	219	203	507	1	1	1	1	319	507	203	217	1016	858	531	528	403	1	403	824
M00595:42:000000000-A5J1T:1:2102:22099:5968	113	144	106	278	1	1	1	1	113	278	106	144	488	267	267	324	272	1	272	483
M00595:42:000000000-A5J1T:1:1110:15599:11188	156	130	90	224	1	1	1	1	156	224	90	130	472	406	246	321	438	1	438	814
M01896:2:000000000-A69JN:1:1114:7859:11051	246	165	210	368	1	1	1	1	246	368	210	165	681	596	448	387	277	1	277	520
M01896:14:000000000-A7ERE:1:1105:17764:11178	155	67	85	157	1	1	1	1	155	157	87	67	342	398	196	161	179	1	181	346
M00595:54:000000000-A7CT0:1:1103:23391:21826	151	140	92	226	1	1	1	1	155	226	92	140	462	401	214	315	488	1	488	890
M01896:14:000000000-A7ERE:1:1101:28628:8590	169	129	80	222	1	1	1	1	169	222	80	129	436	454	214	329	297	0	297	568
M01896:15:000000000-A7EN9:1:1113:19402:4774	290	181	153	337	1	1	1	1	290	337	153	181	609	607	358	390	551	1	551	1014
M01896:2:000000000-A69JN:1:2106:22046:6896	232	200	204	308	1	1	1	1	232	312	203	200	616	514	459	407	569	1	569	993
M01896:14:000000000-A7ERE:1:2114:21466:10444	81	22	5	15	0	0	0	0	83	15	5	22	18	103	8	29	27	0	27	31
M00595:42:000000000-A5J1T:1:2116:13071:19218	124	68	97	193	1	1	1	1	124	193	94	68	383	303	221	196	336	1	336	705
M00595:54:000000000-A7CT0:1:1107:24083:11329	104	96	95	173	1	1	1	1	104	173	95	96	334	267	208	180	364	1	364	611
M01896:15:000000000-A7EN9:1:2114:5816:14728	246	139	214	309	1	1	1	1	246	309	216	139	589	534	472	306	212	1	212	444
M01896:14:000000000-A7ERE:1:2113:13542:19521	131	75	55	188	1	1	1	1	131	188	55	75	452	410	176	189	91	1	91	223
M01896:14:000000000-A7ERE:1:1110:9532:2564	177	57	37	75	1	1	1	1	177	75	37	57	170	471	83	148	159	1	159	348
M01896:14:000000000-A7ERE:1:2119:20537:21154	164	98	80	170	1	1	1	1	166	170	80	98	376	523	221	266	259	1	259	575
M00595:54:000000000-A7CT0:1:2103:18158:13513	104	72	85	194	1	1	1	1	104	194	85	72	403	323	244	173	100	1	100	239
M01896:14:000000000-A7ERE:1:1118:28109:19685	115	45	28	59	1	1	1	1	115	57	28	45	104	231	61	95	107	1	107	212
M01896:2:000000000-A69JN:1:2108:18795:15961	128	74	38	150	1	1	1	1	128	150	38	74	360	344	142	243	292	1	292	595
M01896:15:000000000-A7EN9:1:1101:13235:7788	73	59	50	103	1	1	1	1	73	103	50	59	232	190	138	128	152	1	152	302
M01896:14:000000000-A7ERE:1:2103:15285:8532	171	86	77	285	1	1	1	1	171	285	77	86	577	428	207	248	304	1	304	637
