#OTU ID	S13D7.MID110-110.P3.jan14_ncdenovo	P3D7.MID46-47.P1.apr13_ncdenovo	S13D7.MID95-95.P1.dec13_ncdenovo	S13D7.MID109-109.P1.jan14_ncdenovo	S13D7.MID101-101.P1.nov13_ncdenovo	S13D7.MID95-95.P1.dec13_otuclust	S13D7.MID101-101.P1.nov13_otuclust	P3D7.MID46-47.P1.apr13_otuclust	S13D7.MID109-109.P1.jan14_otuclust	S13D7.MID110-110.P3.jan14_otuclust	S13D7.MID110-110.P3.jan14_ncref	S13D7.MID95-95.P1.dec13_ncref	S13D7.MID109-109.P1.jan14_ncref	P3D7.MID46-47.P1.apr13_ncref	S13D7.MID101-101.P1.nov13_ncref	S13D7.MID110-110.P3.jan14	S13D7.MID109-109.P1.jan14	S13D7.MID101-101.P1.nov13	P3D7.MID46-47.P1.apr13	S13D7.MID95-95.P1.dec13
M01896:15:000000000-A7EN9:1:2117:24837:7459	510	185	324	538	399	1	1	1	1	1	510	324	538	185	399	839	924	708	312	571
M01896:14:000000000-A7ERE:1:2116:14821:21832	621	124	232	432	1130	1	1	1	1	1	621	232	432	124	1130	1063	871	1793	279	496
M01896:2:000000000-A69JN:1:1106:10036:5574	593	153	281	414	667	1	1	1	1	1	593	281	414	153	667	1134	881	1108	322	582
M01896:2:000000000-A69JN:1:1102:12111:14329	454	96	360	335	555	1	1	1	1	1	454	360	335	96	555	926	832	1068	234	764
M01896:15:000000000-A7EN9:1:1113:18156:6009	433	97	191	671	674	1	1	1	1	1	433	191	671	97	674	787	1338	1190	208	464
M00595:54:000000000-A7CT0:1:2113:19379:13810	642	176	439	1014	1809	1	1	1	1	1	642	439	1014	176	1809	1051	1817	2661	317	772
M01896:14:000000000-A7ERE:1:1117:17493:9488	951	240	425	637	918	1	1	1	1	1	951	425	637	240	918	1645	1172	1481	475	809
M00595:54:000000000-A7CT0:1:1108:17828:14764	479	135	285	489	1484	1	1	1	1	1	479	285	489	135	1484	864	1015	2189	265	530
M01896:14:000000000-A7ERE:1:1117:9172:16535	87	43	55	54	447	1	1	1	1	1	87	55	54	43	447	184	134	783	95	121
M00595:54:000000000-A7CT0:1:2109:12807:9008	83	47	13	73	28	1	1	1	1	1	83	13	73	47	28	209	204	89	115	39
