#OTU ID	S1HB3xDD2.MID109-109.P4.jan14_ncdenovo	S1HB3xDD2.MID110-110.P2.jan14_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_ncdenovo	S1HB3xDD2.MID104-104.P2.nov13_ncdenovo	S1HB3xDD2.MID98-98.P2.dec13_otuclust	S1HB3xDD2.MID104-104.P2.nov13_otuclust	S1HB3xDD2.MID110-110.P2.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_otuclust	S1HB3xDD2.MID109-109.P4.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13_ncref	S1HB3xDD2.MID98-98.P2.dec13_ncref	S1HB3xDD2.MID110-110.P2.jan14_ncref	S1HB3xDD2.MID104-104.P2.nov13	S1HB3xDD2.MID109-109.P4.jan14	S1HB3xDD2.MID98-98.P2.dec13	S1HB3xDD2.MID110-110.P2.jan14	PDD2xHB3.MID47-48.P2.apr13_ncdenovo	PDD2xHB3.MID47-48.P2.apr13_otuclust	PDD2xHB3.MID47-48.P2.apr13_ncref	PDD2xHB3.MID47-48.P2.apr13
M00595:42:000000000-A5J1T:1:2119:7483:12228	84	22	11	19	1	1	1	1	84	21	11	22	53	196	32	50	97	1	97	196
M00595:54:000000000-A7CT0:1:2105:16671:23179	54	71	84	127	1	1	1	1	54	129	84	71	270	157	205	164	163	1	163	342
M00595:42:000000000-A5J1T:1:2112:13405:4392	81	45	50	79	1	1	1	1	79	79	50	45	207	238	150	140	131	1	133	309
M01896:14:000000000-A7ERE:1:1110:4845:13367	81	41	36	99	1	1	1	1	81	103	36	41	225	183	93	126	106	1	106	263
M01896:14:000000000-A7ERE:1:1109:16987:11794	76	50	0	87	0	0	0	0	76	87	27	50	190	204	111	136	83	0	81	222
M01896:2:000000000-A69JN:1:2102:14002:15481	70	61	76	141	1	1	1	1	70	141	76	61	322	201	181	156	208	1	208	429
M00595:42:000000000-A5J1T:1:1115:16610:6939	81	69	93	220	1	1	1	1	81	220	93	69	623	282	314	294	307	1	309	698
M00595:42:000000000-A5J1T:1:2113:17247:23378	63	66	20	96	1	1	1	1	63	96	20	66	202	175	44	159	137	1	137	279
M01896:2:000000000-A69JN:1:1115:16009:9175	50	44	23	89	0	0	0	0	50	93	23	44	182	154	78	117	99	0	99	233
M01896:14:000000000-A7ERE:1:1106:13389:17406	37	47	27	83	1	1	1	1	43	89	24	53	207	118	78	135	51	1	51	116
M01896:15:000000000-A7EN9:1:1114:22486:19273	60	29	41	49	1	1	1	1	60	49	41	29	120	128	96	64	106	1	106	222
M01896:2:000000000-A69JN:1:1107:18770:23171	45	23	25	94	1	1	1	1	45	94	25	23	202	118	61	77	93	1	93	216
M01896:14:000000000-A7ERE:1:2118:21973:2710	37	17	9	23	1	1	1	1	37	23	9	17	38	83	25	34	67	1	67	141
M01896:15:000000000-A7EN9:1:1104:6658:20006	36	8	24	19	1	1	1	1	36	19	24	8	49	89	59	30	36	1	38	89
	34	29	10	41	1	2	2	3	32	43	10	29	87	107	41	71	121	2	121	264
M00595:42:000000000-A5J1T:1:2113:24314:19403	26	8	4	10	1	1	1	1	26	12	4	8	27	47	10	18	80	1	80	175
M00595:54:000000000-A7CT0:1:2118:16062:14962	47	45	28	98	1	1	1	1	47	98	28	45	198	122	70	126	113	1	113	236
M01896:14:000000000-A7ERE:1:1112:20535:7984	614	610	394	830	1	1	1	1	614	830	398	612	1416	1285	762	1119	925	1	925	1585
M01896:15:000000000-A7EN9:1:1111:21817:2894	26	2	5	8	1	1	1	1	26	8	0	2	25	59	19	14	31	1	31	83
M00595:42:000000000-A5J1T:1:1104:20455:11573	36	45	21	102	1	1	1	1	36	102	21	45	264	127	84	126	105	1	105	234
M01896:14:000000000-A7ERE:1:1110:5232:11002	26	31	30	105	1	1	1	1	26	108	30	31	322	138	134	104	73	1	73	188
M01896:14:000000000-A7ERE:1:2117:24550:5632	446	369	265	494	1	1	1	1	446	494	265	369	857	884	548	717	684	1	684	1189
M00595:42:000000000-A5J1T:1:1117:20381:8751	47	35	46	142	1	1	1	1	47	142	46	35	413	213	159	165	225	1	225	583
M01896:14:000000000-A7ERE:1:1103:14337:9938	348	133	254	259	1	1	1	1	352	265	262	133	489	768	535	295	273	1	278	525
M01896:14:000000000-A7ERE:1:2116:14406:5530	39	42	28	117	1	1	1	1	39	117	28	42	354	201	138	144	170	1	170	456
M00595:42:000000000-A5J1T:1:1114:26399:7767	37	17	10	90	1	1	1	1	37	88	10	17	279	145	38	105	119	1	119	314
M01896:2:000000000-A69JN:1:1104:16971:2021	209	164	271	416	1	1	1	1	209	418	271	162	795	466	628	355	170	1	168	339
M01896:2:000000000-A69JN:1:2119:17039:6983	21	14	12	52	1	1	1	1	21	52	12	14	184	84	37	57	134	1	134	355
M01896:14:000000000-A7ERE:1:1116:25596:10561	6	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	1
M00595:42:000000000-A5J1T:1:1110:20185:15602	9	8	0	8	0	1	1	1	9	8	0	8	23	42	8	16	37	1	37	78
M00595:42:000000000-A5J1T:1:2109:25828:5457	337	247	181	389	1	1	1	1	337	391	181	247	744	754	384	556	569	1	569	1048
M00595:42:000000000-A5J1T:1:2110:16339:5836	360	208	201	357	1	1	1	1	362	357	201	208	602	763	422	415	354	1	354	642
M00595:42:000000000-A5J1T:1:1111:23382:14526	480	343	266	437	1	1	1	1	480	437	266	343	958	1136	647	771	552	1	557	1069
M01896:15:000000000-A7EN9:1:1108:21573:19530	559	466	355	684	1	1	1	1	563	686	355	466	1375	1287	840	1068	621	1	621	1158
M01896:15:000000000-A7EN9:1:2118:16165:13253	380	312	190	384	1	1	1	1	380	384	194	314	650	759	387	583	615	1	615	1031
M00595:42:000000000-A5J1T:1:1108:26505:17224	7	2	2	12	1	1	1	1	7	12	2	2	23	32	5	11	10	1	10	30
M01896:2:000000000-A69JN:1:1102:24823:6851	333	201	389	403	1	1	1	1	335	403	392	205	759	682	735	459	325	1	325	584
M01896:15:000000000-A7EN9:1:1104:19193:7159	319	219	203	507	1	1	1	1	319	507	203	219	1038	882	545	550	403	1	403	838
M00595:42:000000000-A5J1T:1:1108:16260:15202	6	0	0	0	0	0	0	0	0	0	0	0	1	4	0	9	0	0	0	2
M01896:15:000000000-A7EN9:1:1112:11551:10293	155	192	131	298	1	1	1	1	155	300	131	194	606	355	284	414	367	1	367	747
M00595:42:000000000-A5J1T:1:2110:11734:7655	3	0	0	0	0	0	0	1	3	0	0	0	5	14	1	1	5	1	5	9
M01896:2:000000000-A69JN:1:2117:24530:16858	2	4	2	25	1	1	1	1	2	25	2	4	118	31	16	24	58	1	58	136
M01896:14:000000000-A7ERE:1:2117:16227:13619	2	0	0	0	0	0	0	0	2	0	0	0	2	2	0	1	0	0	0	2
M01896:14:000000000-A7ERE:1:2114:9777:9509	2	2	0	0	0	0	0	0	0	0	0	2	0	5	2	5	0	0	0	0
M01896:14:000000000-A7ERE:1:2104:2709:14624	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0
M01896:14:000000000-A7ERE:1:2101:17708:6996	2	0	0	0	0	0	0	0	0	0	0	0	5	16	5	4	0	0	0	3
M01896:15:000000000-A7EN9:1:1116:2386:13749	4	0	0	0	0	0	0	1	2	0	0	0	2	6	0	1	0	0	0	10
M01896:14:000000000-A7ERE:1:1110:20209:8310	2	0	0	0	0	0	0	1	2	0	0	0	1	3	1	2	0	0	0	0
M01896:14:000000000-A7ERE:1:2115:22559:13870	2	0	0	0	0	0	0	0	0	0	0	0	6	5	1	8	0	0	0	3
M01896:15:000000000-A7EN9:1:2102:15689:12212	2	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0
M01896:15:000000000-A7EN9:1:1116:12951:23170	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
M00595:42:000000000-A5J1T:1:1103:18939:11115	2	0	0	0	0	1	0	1	2	4	0	0	72	30	12	14	28	1	30	139
M01896:2:000000000-A69JN:1:2104:22033:17809	2	0	0	2	0	1	0	1	2	2	0	0	4	8	1	1	0	0	0	4
M01896:14:000000000-A7ERE:1:1106:14016:20450	0	52	0	0	0	0	0	0	0	0	0	52	3	1	2	6	0	0	0	8
M01896:15:000000000-A7EN9:1:1116:14346:17316	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0
M01896:2:000000000-A69JN:1:2104:9373:4387	0	5	2	39	0	1	1	0	0	39	0	5	152	29	20	48	104	1	104	337
M01896:14:000000000-A7ERE:1:2114:17975:11484	0	2	0	0	0	0	0	0	0	0	2	4	14	15	22	24	0	0	2	11
M00595:54:000000000-A7CT0:1:2110:16078:10608	0	2	0	0	0	0	0	0	5	0	7	0	6	16	15	6	0	0	0	2
M01896:15:000000000-A7EN9:1:1111:21101:4169	0	2	0	0	0	0	1	0	0	0	0	2	7	6	3	4	0	0	0	1
M01896:2:000000000-A69JN:1:2109:23076:11450	0	0	2	9	0	1	0	0	0	9	0	0	57	16	8	7	22	1	24	80
