#OTU ID	S13D7.MID110-110.P3.jan14_ncdenovo	P3D7.MID46-47.P1.apr13_ncdenovo	S13D7.MID95-95.P1.dec13_ncdenovo	S13D7.MID109-109.P1.jan14_ncdenovo	S13D7.MID101-101.P1.nov13_ncdenovo	S13D7.MID95-95.P1.dec13_otuclust	S13D7.MID101-101.P1.nov13_otuclust	P3D7.MID46-47.P1.apr13_otuclust	S13D7.MID109-109.P1.jan14_otuclust	S13D7.MID110-110.P3.jan14_otuclust	S13D7.MID110-110.P3.jan14_ncref	S13D7.MID95-95.P1.dec13_ncref	S13D7.MID109-109.P1.jan14_ncref	P3D7.MID46-47.P1.apr13_ncref	S13D7.MID101-101.P1.nov13_ncref	S13D7.MID110-110.P3.jan14	S13D7.MID109-109.P1.jan14	S13D7.MID101-101.P1.nov13	P3D7.MID46-47.P1.apr13	S13D7.MID95-95.P1.dec13
M00595:54:000000000-A7CT0:1:2113:19379:13810	719	198	549	1468	2051	1	1	1	1	1	719	549	1468	198	2053	1176	2433	3020	356	954
M01896:14:000000000-A7ERE:1:2116:14821:21832	714	143	303	633	1282	2	1	1	1	1	714	303	633	143	1282	1208	1162	2059	308	616
M01896:2:000000000-A69JN:1:1106:10036:5574	662	182	343	548	747	1	1	1	1	1	664	343	548	182	747	1314	1122	1251	368	706
M01896:14:000000000-A7ERE:1:1117:17493:9488	1094	289	565	1031	1099	1	1	1	1	1	1099	567	1033	289	1099	2063	2003	1939	608	1204
M01896:14:000000000-A7ERE:1:1107:16089:13717	151	63	100	171	201	1	1	1	1	1	149	104	171	63	201	398	390	436	142	249
M00595:42:000000000-A5J1T:1:2105:18474:13703	137	58	78	161	294	1	1	1	1	1	139	78	161	58	294	332	394	583	130	192
M01896:2:000000000-A69JN:1:1118:25047:15188	160	64	77	166	249	1	1	1	1	1	162	79	168	64	249	422	447	595	132	217
M01896:15:000000000-A7EN9:1:1113:29073:16432	121	33	39	102	124	1	1	1	1	1	121	39	102	33	124	324	287	336	88	140
M00595:54:000000000-A7CT0:1:2109:12807:9008	83	47	13	73	28	1	1	1	1	1	85	13	73	47	28	245	252	100	127	51
M00595:54:000000000-A7CT0:1:1118:10357:17710	49	27	35	47	53	1	1	1	1	1	49	35	47	27	53	126	125	128	65	82
M00595:54:000000000-A7CT0:1:1108:17828:14764	551	159	356	694	1674	1	1	1	1	1	551	356	694	159	1674	962	1300	2491	306	633
M01896:15:000000000-A7EN9:1:2117:24837:7459	512	185	324	538	399	1	1	1	1	1	512	324	538	185	399	865	950	725	333	601
M01896:2:000000000-A69JN:1:1107:14655:24468	162	108	148	193	669	1	1	1	1	1	166	153	193	110	673	685	792	1808	303	478
M00595:42:000000000-A5J1T:1:2119:4751:12624	344	119	210	455	555	1	1	1	1	1	344	210	455	119	555	832	1065	1164	278	552
M01896:15:000000000-A7EN9:1:1111:13958:24300	398	121	199	350	615	1	1	1	1	1	398	201	354	121	615	749	720	1131	284	435
M01896:2:000000000-A69JN:1:1116:24996:17776	276	89	151	230	540	1	1	1	1	1	276	151	230	89	540	544	480	929	211	364
M01896:2:000000000-A69JN:1:2113:20233:5335	319	147	212	256	455	1	1	1	1	1	319	212	256	147	455	592	557	840	293	461
M01896:15:000000000-A7EN9:1:1104:4826:10019	284	131	158	282	327	1	1	1	1	1	282	158	282	131	327	559	564	608	256	346
M01896:2:000000000-A69JN:1:1102:12111:14329	510	118	431	487	656	1	1	1	1	1	510	431	487	118	656	1064	1110	1254	274	937
M01896:14:000000000-A7ERE:1:2117:2856:11558	255	92	68	298	623	1	1	1	1	1	255	68	298	92	623	489	614	1062	200	173
M00595:42:000000000-A5J1T:1:1118:23443:12109	198	81	113	224	245	1	1	1	1	1	200	113	224	81	245	472	528	488	179	309
M01896:14:000000000-A7ERE:1:1106:18179:11015	191	83	96	154	235	1	1	1	1	1	191	96	156	83	235	427	391	527	185	224
M01896:2:000000000-A69JN:1:2115:24575:13627	182	75	158	321	340	1	1	1	1	1	182	158	321	75	340	348	666	616	148	321
M01896:2:000000000-A69JN:1:2103:24247:5752	59	75	44	66	67	1	1	1	1	1	63	44	66	75	69	252	272	237	214	156
M00595:42:000000000-A5J1T:1:2109:4400:18210	187	53	112	183	350	1	1	1	1	1	187	114	183	53	350	444	403	683	142	249
M01896:15:000000000-A7EN9:1:1114:17837:15525	173	77	106	158	472	1	1	1	1	1	173	106	158	77	472	427	437	1122	198	258
M01896:15:000000000-A7EN9:1:2104:4379:6102	175	105	92	209	143	1	1	1	1	1	175	92	209	105	143	398	470	307	206	227
M01896:2:000000000-A69JN:1:1111:23673:3749	158	65	74	140	191	1	1	1	1	1	158	74	140	65	191	388	382	464	165	214
M01896:2:000000000-A69JN:1:2112:15940:4616	40	18	15	38	125	1	1	1	1	1	40	15	38	18	125	146	148	301	56	60
M01896:14:000000000-A7ERE:1:1105:13034:14024	150	83	85	139	178	1	1	1	1	1	150	85	139	83	178	381	386	380	188	231
M00595:54:000000000-A7CT0:1:1105:12413:15187	193	76	86	165	248	1	1	1	1	1	193	86	165	76	248	559	486	613	249	238
M01896:2:000000000-A69JN:1:1117:17278:2546	11	10	14	12	40	1	1	1	1	1	11	14	12	10	40	37	45	80	21	35
M00595:42:000000000-A5J1T:1:2108:24071:12989	10	11	6	13	8	1	1	1	1	1	10	6	13	11	8	34	39	29	33	16
	24	26	19	14	55	2	1	1	1	2	22	19	14	26	55	92	141	224	106	82
M01896:14:000000000-A7ERE:1:1117:9172:16535	97	52	67	84	578	1	1	1	1	1	101	69	86	52	580	265	245	827	123	204
M01896:15:000000000-A7EN9:1:1113:18156:6009	475	105	241	887	760	1	1	1	1	1	475	241	887	105	760	883	1648	1337	230	556
M01896:2:000000000-A69JN:1:2109:23909:21855	188	105	100	114	163	1	1	1	1	1	190	100	114	105	163	464	342	426	225	224
M00595:42:000000000-A5J1T:1:1110:21963:15039	23	26	66	25	414	2	3	1	1	1	23	66	25	26	414	97	84	656	119	105
M01896:2:000000000-A69JN:1:2108:10660:21238	98	49	41	102	144	1	1	1	1	1	98	41	102	49	144	291	322	366	139	157
M00595:54:000000000-A7CT0:1:1114:14316:3012	119	68	87	99	159	1	1	1	1	1	119	87	99	68	159	318	247	335	153	214
M01896:14:000000000-A7ERE:1:1112:6257:4532	312	134	170	326	255	1	1	1	1	1	312	172	328	134	255	609	693	486	260	408
M01896:14:000000000-A7ERE:1:1103:25376:6175	385	120	217	377	375	1	1	1	1	1	385	217	377	120	375	779	805	765	285	474
M00595:54:000000000-A7CT0:1:1119:25019:15779	299	80	146	412	416	1	1	1	1	1	299	146	412	80	416	700	948	878	180	398
M01896:2:000000000-A69JN:1:2109:4217:19442	239	66	78	99	242	1	1	1	1	1	239	78	99	66	242	533	276	506	166	204
M01896:2:000000000-A69JN:1:1109:23487:14023	214	96	86	135	394	1	1	1	1	1	212	88	137	96	394	473	311	722	189	229
M00595:54:000000000-A7CT0:1:2103:21116:2958	240	25	81	170	275	1	1	1	1	1	240	81	170	25	275	451	344	503	54	165
M01896:15:000000000-A7EN9:1:2111:26166:10514	200	95	147	167	324	1	1	1	1	1	204	149	169	95	324	459	402	630	208	341
M00595:42:000000000-A5J1T:1:2118:15286:19005	7	18	9	9	20	1	1	1	1	1	7	9	9	18	20	22	44	40	42	16
M01896:14:000000000-A7ERE:1:2110:12975:10001	133	34	47	192	90	1	1	1	1	1	135	47	192	34	90	352	492	279	108	166
M01896:14:000000000-A7ERE:1:1107:5396:11262	49	60	22	76	93	1	1	1	1	1	49	22	76	60	95	119	177	225	146	68
M01896:14:000000000-A7ERE:1:1107:25121:20449	7	0	0	2	2	0	1	0	1	1	2	0	0	0	2	34	13	26	5	17
M01896:14:000000000-A7ERE:1:2117:13444:20401	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0
M01896:14:000000000-A7ERE:1:1101:10088:20463	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0
M01896:14:000000000-A7ERE:1:1112:3844:19709	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	3	1	0	0
M01896:15:000000000-A7EN9:1:1112:6392:3634	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
M01896:14:000000000-A7ERE:1:1114:22320:11276	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	1	0	1	0
M01896:15:000000000-A7EN9:1:2101:17864:10189	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0
M01896:14:000000000-A7ERE:1:2108:4074:18921	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	4	2	2	0
M00595:42:000000000-A5J1T:1:2102:8288:19048	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0
M01896:15:000000000-A7EN9:1:1114:24615:14175	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	2	0
M00595:42:000000000-A5J1T:1:2116:18711:6185	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	2	0
M00595:54:000000000-A7CT0:1:1104:18894:9578	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
M00595:54:000000000-A7CT0:1:2117:15608:6529	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	15	4	6
M01896:2:000000000-A69JN:1:2110:28406:17055	0	0	0	8	12	0	1	0	1	0	0	0	8	0	12	7	27	26	10	5
M01896:14:000000000-A7ERE:1:1109:10046:24264	0	0	0	3	0	0	0	0	1	0	0	0	3	0	0	0	5	0	0	0
M01896:14:000000000-A7ERE:1:1111:15897:11385	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
M01896:15:000000000-A7EN9:1:1113:13292:13209	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	6	7	1	0	0
M01896:14:000000000-A7ERE:1:1114:7191:6112	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	1	3	0	0	0
